HOSTNAME,SOURCE_BUNDLE_INTERFACE,SOURCE_IPV4_ADDRESS,SOURCE_IPV6_ADDRESS
MKTG3610CIBP001,Bundle-Ether31,10.205.192.1/30,2405:B800:1::/127
MKTG3610CIBP001,Bundle-Ether33,10.205.192.66/30,2405:B800:1::21/127
MKTG3610CIBP001,Bundle-Ether34,10.205.192.130/30,2405:B800:1::41/127
MKTG3610CIBP001,Bundle-Ether35,10.205.192.194/30,2405:B800:1::81/127
MKTG3610CIBP001,Bundle-Ether37,10.205.192.242/30,2405:B800:1::99/127
MKTG3610CIBP001,Bundle-Ether39,10.205.193.18/30,2405:B800:1::A9/127
MKTG3610CIBP001,Bundle-Ether41,10.205.193.50/30,2405:B800:1::B9/127
MKTG3610CIBP001,Bundle-Ether43,10.205.193.66/30,2405:B800:1::C1/127
MKTG3610CIBP001,Bundle-Ether45,10.205.194.2/30,2405:B800:1::121/127
MKTG3610CIBP001,Bundle-Ether47,10.205.194.34/30,2405:B800:1::131/127
MKTG3610CIBP001,Bundle-Ether49,10.205.194.66/30,2405:B800:1::141/127
MKTG3610CIBP001,Bundle-Ether51,10.205.195.66/30,2405:B800:1::1C1/127
MKTG3610CIBP001,Bundle-Ether32,10.205.192.9/30,2405:B800:1::4/127
MKTG3610CIBP001,Bundle-Ether36,10.205.192.202/30,2405:B800:1::85/127
MKTG3610CIBP001,Bundle-Ether38,10.205.193.2/30,2405:B800:1::A1/127
MKTG3610CIBP001,Bundle-Ether40,10.205.193.58/30,2405:b800:1::bd/127
MKTG3610CIBP001,Bundle-Ether41,,
MKTG3610CIBP001,Bundle-Ether43,,
MKTG3610CIBP001,Bundle-Ether46,10.205.194.18/30,2405:B800:1::129/127
MKTG3610CIBP001,Bundle-Ether48,10.205.194.50/30,2405:B800:1::139/127
MKTG3610CIBP001,Bundle-Ether50,10.205.194.82/30,2405:B800:1::149/127
MKTG3610CIBP002,Bundle-Ether31,10.205.192.5/30,2405:B800:1::2/127
MKTG3610CIBP002,Bundle-Ether33,10.205.192.70/30,2405:B800:1::23/127
MKTG3610CIBP002,Bundle-Ether34,10.205.192.134/30,2405:B800:1::43/127
MKTG3610CIBP002,Bundle-Ether35,10.205.192.198/30,2405:B800:1::83/127
MKTG3610CIBP002,Bundle-Ether37,10.205.192.250/30,2405:B800:1::9D/127
MKTG3610CIBP002,Bundle-Ether39,10.205.193.26/30,2405:B800:1::AD/127
MKTG3610CIBP002,Bundle-Ether41,10.205.193.54/30,2405:B800:1::BB/127
