results__id,HOSTNAME,results__name,results__label
cdce7c67-e7e4-40ae-b4d3-a4e4ee66a2f9,ATT00T02CICU001,Loopback0,Loopback0
87c22304-6edf-48e6-8437-4f3b7e07a964,ATT00T02CICU001,Loopback1,Loopback1
c95f5811-7795-4d8b-9547-b5c4917b0f35,BAT00B04CICN001,Loopback0,Loopback0
69994d09-f4b6-468b-ba8b-03d410fc775b,BAT00B04CICN001,Loopback1,Loopback1
2a3228e4-3539-4fe9-afdb-b4b4bc489b77,BAT00B04CICN002,Loopback0,Loopback0
8ed0f933-3c04-4433-8b81-f76dce7ce438,BAT00B04CICN002,Loopback1,Loopback1
4ce9e24b-5821-4f26-8de2-609423934faa,BGO05352CIBE001,Loopback0,Loopback0
99db67cd-4c15-4a4b-a7af-119e11e4fd39,BGO05352CIBE001,Loopback1,Loopback1
fa5466a9-3f72-48f9-bf90-545b39b8f414,MTP00H22CIBE001,Loopback0,Loopback0
d2e87750-9e33-4196-8baf-ca81bc5158cf,MTP00H22CIBE001,Loopback1,Loopback1
0acbb3b0-b72e-41c4-8707-e58db45c2322,MTP00H22CIBE002,Loopback0,Loopback0
9e67da77-50cf-4bf9-ab5e-22050b578ee1,MTP00H22CIBE002,Loopback1,Loopback1
7b7f180a-d803-4cbf-9e5b-241494ffc102,MTPPXALACICU001,Loopback0,Loopback0
2edbf560-3b1e-45b1-a604-739c9d44d10c,MTPPXALACICU001,Loopback1,Loopback1
4d8b4e82-3c97-4bc3-a321-cb451d1581c1,SPES0788CICU001,Loopback0,Loopback0
90a19dad-b1de-4f46-97f6-e4d183d7c41d,SPES0788CICU001,Loopback1,Loopback1
