HOSTNAME,device/id,results__id,SOURCE_BUNDLE_INTERFACE
AGSPXAGSCICU001,33e89bbe-6da2-411e-9fca-7792a66b22bf,2664fe79-2ade-40d9-a9da-b49d7f3275ab,HundredGigE0/0/2/0
AGSPXAGSCICU001,33e89bbe-6da2-411e-9fca-7792a66b22bf,8cb951d3-9f5c-40f3-8998-051113945b5f,HundredGigE0/1/2/0
AGSPXAGSCICU001,33e89bbe-6da2-411e-9fca-7792a66b22bf,ba6f29f8-7ead-439b-9169-13c06dfefb9d,Bundle-Ether200
AGSPXAGSCICU001,33e89bbe-6da2-411e-9fca-7792a66b22bf,d888f329-f34f-47ab-ba62-93f84d34ac0b,Bundle-Ether201
AGSPXAGSCICU001,33e89bbe-6da2-411e-9fca-7792a66b22bf,45b80aba-3ad1-427d-9ce0-7299f935812f,Loopback0
AGSPXAGSCICU001,33e89bbe-6da2-411e-9fca-7792a66b22bf,4cae5448-047c-441b-8b84-77dfe2f2dda3,Loopback1
ALF00634CICN001,5fce4f72-b3da-405f-a846-9a2c3e5a432d,dae57f87-e760-4e6b-8334-671c6c2908a5,HundredGigE0/2/0/0
ALF00634CICN001,5fce4f72-b3da-405f-a846-9a2c3e5a432d,1186e26c-15fd-4b31-9a79-96152e63208f,HundredGigE0/2/0/35
ALF00634CICN001,5fce4f72-b3da-405f-a846-9a2c3e5a432d,64324db5-cdad-4785-8bd5-1e4520f7a930,HundredGigE0/3/2/0
ALF00634CICN001,5fce4f72-b3da-405f-a846-9a2c3e5a432d,ad95896f-1cd5-467e-a3a6-da104d62e753,Bundle-Ether100
ALF00634CICN001,5fce4f72-b3da-405f-a846-9a2c3e5a432d,81b39cd4-d1c5-4b16-9329-efaa0bc612d3,Bundle-Ether101
ALF00634CICN001,5fce4f72-b3da-405f-a846-9a2c3e5a432d,8d82768c-c448-4657-83bc-24f25c761d3f,Bundle-Ether500
ALF00634CICN001,5fce4f72-b3da-405f-a846-9a2c3e5a432d,8c066617-8456-408d-a134-762dd1b4b823,Loopback0
ALF00634CICN001,5fce4f72-b3da-405f-a846-9a2c3e5a432d,932c073e-7066-41e7-9087-9815517897a2,Loopback1
ALF00634CICN002,ab0e661e-fd2a-4da9-8825-293262456315,1f4ea972-ced7-4894-937d-64824aa243e1,HundredGigE0/2/0/0
ALF00634CICN002,ab0e661e-fd2a-4da9-8825-293262456315,60392841-5ac9-463f-926f-76b9b064e174,HundredGigE0/2/0/35
ALF00634CICN002,ab0e661e-fd2a-4da9-8825-293262456315,3e670d52-2bc8-460a-b74e-35c08d478459,HundredGigE0/3/2/0
