HOSTNAME,device/id,results__id,results__name
AGSPXAGSCICU001,33e89bbe-6da2-411e-9fca-7792a66b22bf,45b80aba-3ad1-427d-9ce0-7299f935812f,Loopback0
AGSPXAGSCICU001,33e89bbe-6da2-411e-9fca-7792a66b22bf,4cae5448-047c-441b-8b84-77dfe2f2dda3,Loopback1
ALF00634CICN001,5fce4f72-b3da-405f-a846-9a2c3e5a432d,8c066617-8456-408d-a134-762dd1b4b823,Loopback0
ALF00634CICN001,5fce4f72-b3da-405f-a846-9a2c3e5a432d,932c073e-7066-41e7-9087-9815517897a2,Loopback1
ALF00634CICN002,ab0e661e-fd2a-4da9-8825-293262456315,0fd4e7d4-4989-4da4-983e-46dbbd1e7f8b,Loopback0
ALF00634CICN002,ab0e661e-fd2a-4da9-8825-293262456315,8ef3f3dd-461e-43fa-8717-d3aa6c3cf63a,Loopback1
ALM00C07CICN001,d54b37a8-64a0-4797-9822-ed9e0398acaa,262c154a-cd5f-4824-8e7e-23de35f085ac,Loopback0
ALM00C07CICN001,d54b37a8-64a0-4797-9822-ed9e0398acaa,a54ce321-8495-416d-a01e-45660821ce8e,Loopback1
ALM00C07CICN002,901a3308-98f5-4177-84dd-a1339971a9a4,a513ac29-5b2e-4010-b59c-544897043dda,Loopback0
ALM00C07CICN002,901a3308-98f5-4177-84dd-a1339971a9a4,a0014fe1-7eb7-4e3e-96f8-7951571991eb,Loopback1
ALM00C07CICU001,7bf1ea50-2ebd-4a53-8890-370d6d104887,7ed8d3dd-d010-48dc-a180-89a81a5839be,Loopback0
ALM00C07CICU001,7bf1ea50-2ebd-4a53-8890-370d6d104887,974efd85-9659-4a79-a7db-c1d78e9af90c,Loopback1
AOO00C08CICN01,0d7d0f6a-65f5-49a3-b575-c9085f298e5c,263792c7-0789-4762-a466-43bb1f2c1b3f,Loopback0
AOO00C08CICN01,0d7d0f6a-65f5-49a3-b575-c9085f298e5c,153cbb1e-0268-4871-a704-0020914a3f2e,Loopback1
AOO00C08CICN02,e1359533-b7cc-463d-bd1a-34b3dab4c4f8,04baf037-8f49-4627-87e0-338d0e03fca7,Loopback0
AOO00C08CICN02,e1359533-b7cc-463d-bd1a-34b3dab4c4f8,fdcda6fa-6f52-4411-8aa0-0554b3d3cd2b,Loopback1
APL00529CICN001,036798d0-0695-44b0-a658-e75d01009e09,789bb74d-ab1c-403f-91a6-c61c5792a53d,Loopback0
APL00529CICN001,036798d0-0695-44b0-a658-e75d01009e09,94cbac08-41b9-491f-a80c-acee4f3ba971,Loopback1
ASI00C10CICN001,7fd87680-89f8-4042-bdca-9d5fb2c29eaf,33bbaa5a-b10b-44f5-821e-a337ecf3a03b,Loopback0
ASI00C10CICN001,7fd87680-89f8-4042-bdca-9d5fb2c29eaf,6c444755-ac9a-4267-b962-605eb0f6e2ae,Loopback1
ASI00C10CICN002,1f0f87e5-b580-4bc8-83d8-630603133d1f,e37e517d-a855-40b7-9b0f-c9514bab55bf,Loopback0
ASI00C10CICN002,1f0f87e5-b580-4bc8-83d8-630603133d1f,319867af-d4f6-43d2-9957-0e453f3ef2b7,Loopback1
ATT00T02CICU001,5d4eeb84-82b8-4464-9be9-1fc06ef43b4c,ef1fac90-944a-4a88-830f-0aa32b86f98a,Loopback0
ATT00T02CICU001,5d4eeb84-82b8-4464-9be9-1fc06ef43b4c,26651bd0-6b0a-4764-8a0b-64ea8d8e85c0,Loopback1
BAB00B13CICU001,ddb3305d-ee9a-4588-8fa7-a2aa7f319da1,c6e578eb-2f13-4bdf-a91b-2f58491dd395,Loopback0
BAB00B13CICU001,ddb3305d-ee9a-4588-8fa7-a2aa7f319da1,a4bf475b-dba2-40cf-98c5-10bb17203faf,Loopback1
BAB00B90CICN001,229f8a86-20ee-4c62-8d11-e2fb0791fe8b,00834c62-49ff-4bc6-95ba-966cee5ca1f8,Loopback0
BAB00B90CICN001,229f8a86-20ee-4c62-8d11-e2fb0791fe8b,9dd3704b-2427-4bae-8783-eb881eb1c7a3,Loopback1
BAB00B90CICN002,4df33ad3-4a5b-4d3b-9590-0d40d6eb38b5,f8e01a5f-ff77-4029-b0ef-1d91939806f6,Loopback0
BAB00B90CICN002,4df33ad3-4a5b-4d3b-9590-0d40d6eb38b5,f921974a-41f6-461c-9b90-2c06abcffcb7,Loopback1
BABPXBABCICN001,ebb34de6-9704-4bb9-85d8-72eb129dd632,bd888636-58ad-4bbb-9a64-7e0db8373192,Loopback0
BABPXBABCICN001,ebb34de6-9704-4bb9-85d8-72eb129dd632,3db09fd6-5bf6-4168-8c11-b5b1c34ed365,Loopback1
BABPXBABCICN002,f44d5e06-010e-4c29-98da-dfa89b94e954,721b3f65-b2fe-442a-8541-6bbb4a354722,Loopback0
BABPXBABCICN002,f44d5e06-010e-4c29-98da-dfa89b94e954,1ecab482-233e-4d05-89c9-8368ea87c77a,Loopback1
BAL06114CIBE001,3414f51f-ae2d-4d2d-b57f-c06b8adda987,11259d77-f137-4747-8c72-f5ba54643438,Loopback0
BAL06114CIBE001,3414f51f-ae2d-4d2d-b57f-c06b8adda987,46596d6b-1072-4777-bc5f-8cb377b16936,Loopback1
BAL06114CIBE002,37e9e822-57d0-438a-9b5e-c28309a99486,d5a2ad77-776d-4b74-9c61-46ae6d0119da,Loopback0
BAL06114CIBE002,37e9e822-57d0-438a-9b5e-c28309a99486,9ad03042-e1fb-47f9-ad8a-ea613600929e,Loopback1
BAT00B04CICN001,84b01c6f-6c1d-4130-9b15-f8a73bc8715b,1840b47f-343c-40c9-9690-44223e517c5d,Loopback0
BAT00B04CICN001,84b01c6f-6c1d-4130-9b15-f8a73bc8715b,b38849b3-1ae7-4ce2-b30c-8ef9bb31348f,Loopback1
BAT00B04CICN002,9f6654ad-ac71-4c23-bc84-b19a730dddb9,2d95ffe8-2ff7-48c3-b231-4019af933a8e,Loopback0
BAT00B04CICN002,9f6654ad-ac71-4c23-bc84-b19a730dddb9,d73f6a41-8a52-447c-8edb-e0e44c00ac0f,Loopback1
BATPXBATCIBP001,2345e526-ae8b-4ba7-8593-810354a2a4de,746408de-410c-486d-bb40-eade8819f1f4,Loopback0
