id,timestamp,hostname,intf,ipaddr,status,proto,vrf,modified_by_id
169401,"2021-05-11 03:15:32.528409",MTP00H22CIBE001,Bundle-Ether10,10.205.193.129,Up,Up,default,1
169402,"2021-05-11 03:15:32.528494",MTP00H22CIBE001,Bundle-Ether11,unassigned,Shutdown,Down,default,1
169403,"2021-05-11 03:15:32.528542",MTP00H22CIBE001,Bundle-Ether31,10.205.193.1,Up,Up,default,1
169404,"2021-05-11 03:15:32.528586",MTP00H22CIBE001,Bundle-Ether32,10.205.193.5,Up,Up,default,1
169405,"2021-05-11 03:15:32.528628",MTP00H22CIBE001,Bundle-Ether251,10.205.228.194,Up,Up,default,1
169406,"2021-05-11 03:15:32.528669",MTP00H22CIBE001,Bundle-Ether252,10.205.228.202,Up,Up,default,1
169407,"2021-05-11 03:15:32.528711",MTP00H22CIBE001,Bundle-Ether700,10.205.151.26,Up,Up,default,1
169408,"2021-05-11 03:15:32.528753",MTP00H22CIBE001,Bundle-Ether30000,unassigned,Up,Up,default,1
169409,"2021-05-11 03:15:32.528795",MTP00H22CIBE001,Bundle-Ether30001,unassigned,Up,Up,default,1
169410,"2021-05-11 03:15:32.528836",MTP00H22CIBE001,Bundle-Ether30002,unassigned,Up,Up,default,1
169411,"2021-05-11 03:15:32.528876",MTP00H22CIBE001,Bundle-Ether65534,unassigned,Shutdown,Down,default,1
169412,"2021-05-11 03:15:32.528916",MTP00H22CIBE001,Bundle-Ether30002.951,unassigned,Up,Up,default,1
169413,"2021-05-11 03:15:32.528955",MTP00H22CIBE001,Bundle-Ether30002.952,unassigned,Up,Up,default,1
169414,"2021-05-11 03:15:32.528995",MTP00H22CIBE001,Bundle-Ether30002.953,unassigned,Up,Up,default,1
169415,"2021-05-11 03:15:32.529034",MTP00H22CIBE001,Bundle-Ether30001.1201,unassigned,Up,Up,default,1
169416,"2021-05-11 03:15:32.529073",MTP00H22CIBE001,Bundle-Ether30001.1202,unassigned,Up,Up,default,1
169417,"2021-05-11 03:15:32.529112",MTP00H22CIBE001,Bundle-Ether30002.1202,unassigned,Up,Up,default,1
169418,"2021-05-11 03:15:32.529151",MTP00H22CIBE001,Bundle-Ether30002.1203,unassigned,Up,Up,default,1
169419,"2021-05-11 03:15:32.529190",MTP00H22CIBE001,Bundle-Ether30002.1204,unassigned,Up,Up,default,1
169420,"2021-05-11 03:15:32.529236",MTP00H22CIBE001,Bundle-Ether30002.1205,unassigned,Up,Up,default,1
169421,"2021-05-11 03:15:32.529275",MTP00H22CIBE001,Bundle-Ether30002.1206,unassigned,Up,Up,default,1
169422,"2021-05-11 03:15:32.529314",MTP00H22CIBE001,Loopback0,10.205.130.9,Up,Up,default,1
169423,"2021-05-11 03:15:32.529353",MTP00H22CIBE001,Loopback1,10.205.138.9,Up,Up,CIPR20000_TNTMGMT_H00,1
169424,"2021-05-11 03:15:32.529393",MTP00H22CIBE001,Loopback100,10.205.184.5,Up,Up,default,1
169425,"2021-05-11 03:15:32.529433",MTP00H22CIBE001,MgmtEth0/RSP1/CPU0/0,192.168.1.4,Shutdown,Down,default,1
169426,"2021-05-11 03:15:32.529472",MTP00H22CIBE001,HundredGigE0/0/0/0,unassigned,Shutdown,Down,default,1
169427,"2021-05-11 03:15:32.529513",MTP00H22CIBE001,HundredGigE0/0/0/1,unassigned,Up,Up,default,1
169428,"2021-05-11 03:15:32.529560",MTP00H22CIBE001,HundredGigE0/0/0/2,unassigned,Up,Up,default,1
169429,"2021-05-11 03:15:32.529601",MTP00H22CIBE001,HundredGigE0/0/0/3,unassigned,Shutdown,Down,default,1
169430,"2021-05-11 03:15:32.529640",MTP00H22CIBE001,HundredGigE0/0/0/4,unassigned,Shutdown,Down,default,1
169431,"2021-05-11 03:15:32.529679",MTP00H22CIBE001,HundredGigE0/0/0/5,unassigned,Up,Up,default,1
169432,"2021-05-11 03:15:32.529718",MTP00H22CIBE001,HundredGigE0/0/0/6,unassigned,Shutdown,Down,default,1
169433,"2021-05-11 03:15:32.529758",MTP00H22CIBE001,HundredGigE0/0/0/7,unassigned,Shutdown,Down,default,1
169434,"2021-05-11 03:15:32.529797",MTP00H22CIBE001,HundredGigE0/0/0/8,unassigned,Shutdown,Down,default,1
169435,"2021-05-11 03:15:32.529837",MTP00H22CIBE001,HundredGigE0/0/0/9,unassigned,Shutdown,Down,default,1
169436,"2021-05-11 03:15:32.529877",MTP00H22CIBE001,HundredGigE0/0/0/10,unassigned,Shutdown,Down,default,1
169437,"2021-05-11 03:15:32.529917",MTP00H22CIBE001,HundredGigE0/0/0/11,unassigned,Shutdown,Down,default,1
169438,"2021-05-11 03:15:32.529957",MTP00H22CIBE001,HundredGigE0/0/0/12,unassigned,Up,Up,default,1
169439,"2021-05-11 03:15:32.529998",MTP00H22CIBE001,HundredGigE0/0/0/13,unassigned,Shutdown,Down,default,1
169440,"2021-05-11 03:15:32.530038",MTP00H22CIBE001,HundredGigE0/0/0/14,unassigned,Shutdown,Down,default,1
169441,"2021-05-11 03:15:32.530077",MTP00H22CIBE001,HundredGigE0/0/0/15,unassigned,Shutdown,Down,default,1
169442,"2021-05-11 03:15:32.530118",MTP00H22CIBE001,HundredGigE0/0/0/16,unassigned,Shutdown,Down,default,1
169443,"2021-05-11 03:15:32.530157",MTP00H22CIBE001,HundredGigE0/0/0/17,unassigned,Shutdown,Down,default,1
169444,"2021-05-11 03:15:32.530197",MTP00H22CIBE001,HundredGigE0/0/0/18,unassigned,Shutdown,Down,default,1
169445,"2021-05-11 03:15:32.530236",MTP00H22CIBE001,HundredGigE0/0/0/19,unassigned,Shutdown,Down,default,1
169446,"2021-05-11 03:15:32.530275",MTP00H22CIBE001,HundredGigE0/0/0/20,unassigned,Shutdown,Down,default,1
169447,"2021-05-11 03:15:32.530314",MTP00H22CIBE001,HundredGigE0/0/0/21,unassigned,Shutdown,Down,default,1
169448,"2021-05-11 03:15:32.530353",MTP00H22CIBE001,HundredGigE0/0/0/22,unassigned,Shutdown,Down,default,1
169449,"2021-05-11 03:15:32.530392",MTP00H22CIBE001,HundredGigE0/0/0/23,unassigned,Shutdown,Down,default,1
169450,"2021-05-11 03:15:32.530431",MTP00H22CIBE001,HundredGigE0/0/0/24,unassigned,Shutdown,Down,default,1
169451,"2021-05-11 03:15:32.530470",MTP00H22CIBE001,HundredGigE0/0/0/25,unassigned,Shutdown,Down,default,1
169452,"2021-05-11 03:15:32.530509",MTP00H22CIBE001,HundredGigE0/0/0/26,unassigned,Shutdown,Down,default,1
169453,"2021-05-11 03:15:32.530548",MTP00H22CIBE001,HundredGigE0/0/0/27,unassigned,Shutdown,Down,default,1
169454,"2021-05-11 03:15:32.530588",MTP00H22CIBE001,HundredGigE0/0/0/28,unassigned,Shutdown,Down,default,1
169455,"2021-05-11 03:15:32.530631",MTP00H22CIBE001,HundredGigE0/0/0/29,unassigned,Shutdown,Down,default,1
169456,"2021-05-11 03:15:32.530670",MTP00H22CIBE001,HundredGigE0/0/0/30,unassigned,Shutdown,Down,default,1
169457,"2021-05-11 03:15:32.530714",MTP00H22CIBE001,HundredGigE0/0/0/31,unassigned,Shutdown,Down,default,1
169458,"2021-05-11 03:15:32.530767",MTP00H22CIBE001,TenGigE0/1/0/0,unassigned,Up,Up,default,1
169459,"2021-05-11 03:15:32.530798",MTP00H22CIBE001,TenGigE0/1/0/1,unassigned,Up,Up,default,1
169460,"2021-05-11 03:15:32.530828",MTP00H22CIBE001,TenGigE0/1/0/2,unassigned,Up,Up,default,1
169461,"2021-05-11 03:15:32.530859",MTP00H22CIBE001,TenGigE0/1/0/3,unassigned,Up,Up,default,1
169462,"2021-05-11 03:15:32.530889",MTP00H22CIBE001,TenGigE0/1/0/4,unassigned,Shutdown,Down,default,1
