id,timestamp,hostname,interface,interface_type,bundle_id,bundle_mode,modified_by_id
11360,"2021-05-12 01:59:55.652212",BNNS0801CICU001,TenGigE0/0/1/0,,1001,on,1
11361,"2021-05-12 01:59:55.652273",BNNS0801CICU001,TenGigE0/0/1/2,,10002,on,1
11362,"2021-05-12 01:59:55.652309",BNNS0801CICU001,TenGigE0/1/1/0,,1001,on,1
11363,"2021-05-12 01:59:55.652339",BNNS0801CICU001,TenGigE0/1/1/3,,10003,active,1
11364,"2021-05-12 01:59:55.652370",BNNS0801CICU001,TenGigE0/2/1/0,,10002,on,1
11365,"2021-05-12 01:59:55.652401",BNNS0801CICU001,TenGigE0/2/1/3,,10003,active,1
11366,"2021-05-12 01:59:55.652431",BNNS0801CICU001,HundredGigE0/0/2/0,,251,active,1
11367,"2021-05-12 01:59:55.652460",BNNS0801CICU001,HundredGigE0/1/2/0,,252,active,1
13319,"2021-05-13 05:38:03.312343",PRQG0049CIBE001,TenGigE0/1/0/0,,33,active,1
13320,"2021-05-13 05:38:03.312426",PRQG0049CIBE001,TenGigE0/1/0/3,,36,active,1
13321,"2021-05-13 05:38:03.312473",PRQG0049CIBE001,HundredGigE0/0/0/1,,10,active,1
13322,"2021-05-13 05:38:03.312526",PRQG0049CIBE001,HundredGigE0/0/0/2,,251,active,1
13323,"2021-05-13 05:38:03.312568",PRQG0049CIBE001,HundredGigE0/0/0/3,,34,active,1
13324,"2021-05-13 05:38:03.312607",PRQG0049CIBE001,HundredGigE0/0/0/4,,37,active,1
13325,"2021-05-13 05:38:03.312645",PRQG0049CIBE001,HundredGigE0/0/0/12,,31,active,1
13326,"2021-05-13 05:38:03.312684",PRQG0049CIBE001,HundredGigE0/7/0/1,,35,active,1
13327,"2021-05-13 05:38:03.312721",PRQG0049CIBE001,HundredGigE0/7/0/12,,32,active,1
13328,"2021-05-13 05:38:03.469212",BGO00V61CICN002,HundredGigE0/2/0/0,,101,active,1
13329,"2021-05-13 05:38:03.469315",BGO00V61CICN002,HundredGigE0/2/0/35,,10,active,1
13330,"2021-05-13 05:38:03.469361",BGO00V61CICN002,HundredGigE0/3/2/0,,102,active,1
