id,timestamp,hostname,interface,interface_type,ip_type,address,type,modified_by_id
47786,"2021-05-12 02:01:37.834662",BNNS0801CICU001,Bundle-Ether251,,ipv4,"10.205.232.221 255.255.255.252",,1
47787,"2021-05-12 02:01:37.834832",BNNS0801CICU001,Bundle-Ether251,,ipv6,2405:b800:1:2000::470/127,,1
47788,"2021-05-12 02:01:37.834917",BNNS0801CICU001,Bundle-Ether252,,ipv4,"10.205.232.225 255.255.255.252",,1
47789,"2021-05-12 02:01:37.834989",BNNS0801CICU001,Bundle-Ether252,,ipv6,2405:b800:1:2000::472/127,,1
47790,"2021-05-12 02:01:37.835239",BNNS0801CICU001,Bundle-Ether1001.3200,,ipv4,"14.78.42.53 255.255.255.252",,1
47791,"2021-05-12 02:01:37.835347",BNNS0801CICU001,Bundle-Ether1001.3220,,ipv4,"14.62.42.53 255.255.255.252",,1
47792,"2021-05-12 02:01:37.835455",BNNS0801CICU001,Bundle-Ether1001.3280,,ipv4,"14.110.42.53 255.255.255.252",,1
47793,"2021-05-12 02:01:37.835554",BNNS0801CICU001,Bundle-Ether1001.3400,,ipv4,"14.86.42.53 255.255.255.252",,1
47794,"2021-05-12 02:01:37.835641",BNNS0801CICU001,Bundle-Ether1001.3420,,ipv4,"14.22.42.53 255.255.255.252",,1
47795,"2021-05-12 02:01:37.835726",BNNS0801CICU001,Bundle-Ether1001.3480,,ipv4,"14.118.42.53 255.255.255.252",,1
47796,"2021-05-12 02:01:37.835855",BNNS0801CICU001,Bundle-Ether1001.4081,,ipv4,"10.223.248.229 255.255.255.252",,1
47797,"2021-05-12 02:01:37.835946",BNNS0801CICU001,Bundle-Ether10002.1001,,ipv4,"10.226.140.65 255.255.255.192",,1
47798,"2021-05-12 02:01:37.836024",BNNS0801CICU001,Bundle-Ether10002.1026,,ipv4,"172.16.1.13 255.255.255.252",,1
47799,"2021-05-12 02:01:37.836100",BNNS0801CICU001,Bundle-Ether10002.1104,,ipv4,"10.229.147.117 255.255.255.252",,1
47800,"2021-05-12 02:01:37.836176",BNNS0801CICU001,Bundle-Ether10002.1108,,ipv4,"10.229.89.237 255.255.255.252",,1
47801,"2021-05-12 02:01:37.836249",BNNS0801CICU001,Bundle-Ether10002.1110,,ipv4,"10.229.131.53 255.255.255.252",,1
47802,"2021-05-12 02:01:37.836293",BNNS0801CICU001,Bundle-Ether10002.1111,,ipv4,"10.229.125.1 255.255.255.252",,1
47803,"2021-05-12 02:01:37.836332",BNNS0801CICU001,Bundle-Ether10002.1112,,ipv4,"10.229.137.209 255.255.255.252",,1
47804,"2021-05-12 02:01:37.836369",BNNS0801CICU001,Bundle-Ether10002.1115,,ipv4,"10.229.135.77 255.255.255.252",,1
47805,"2021-05-12 02:01:37.836410",BNNS0801CICU001,Bundle-Ether10002.1116,,ipv4,"10.229.74.241 255.255.255.252",,1
47806,"2021-05-12 02:01:37.836477",BNNS0801CICU001,Bundle-Ether10002.1117,,ipv4,"10.229.146.17 255.255.255.252",,1
47807,"2021-05-12 02:01:37.836550",BNNS0801CICU001,Bundle-Ether10002.1118,,ipv4,"10.229.154.137 255.255.255.252",,1
47808,"2021-05-12 02:01:37.836623",BNNS0801CICU001,Bundle-Ether10002.1119,,ipv4,"10.229.164.1 255.255.255.252",,1
47809,"2021-05-12 02:01:37.836696",BNNS0801CICU001,Bundle-Ether10002.1120,,ipv4,"10.229.163.233 255.255.255.252",,1
47810,"2021-05-12 02:01:37.836757",BNNS0801CICU001,Bundle-Ether10002.1129,,ipv4,"10.229.174.117 255.255.255.252",,1
47811,"2021-05-12 02:01:37.836885",BNNS0801CICU001,Bundle-Ether10002.1130,,ipv4,"172.17.10.162 255.255.255.252",,1
47812,"2021-05-12 02:01:37.836938",BNNS0801CICU001,Bundle-Ether10002.1131,,ipv4,"10.105.18.230 255.255.255.248",,1
47813,"2021-05-12 02:01:37.836978",BNNS0801CICU001,Bundle-Ether10002.1132,,ipv4,"10.229.199.93 255.255.255.252",,1
47814,"2021-05-12 02:01:37.837017",BNNS0801CICU001,Bundle-Ether10002.3000,,ipv4,"14.70.41.165 255.255.255.252",,1
47815,"2021-05-12 02:01:37.837068",BNNS0801CICU001,Bundle-Ether10002.3020,,ipv4,"14.54.41.165 255.255.255.252",,1
47816,"2021-05-12 02:01:37.837136",BNNS0801CICU001,Bundle-Ether10002.3080,,ipv4,"14.102.41.165 255.255.255.252",,1
47817,"2021-05-12 02:01:37.837203",BNNS0801CICU001,Bundle-Ether10002.3200,,ipv4,"14.78.41.165 255.255.255.252",,1
47818,"2021-05-12 02:01:37.837244",BNNS0801CICU001,Bundle-Ether10002.3220,,ipv4,"14.62.41.165 255.255.255.252",,1
47819,"2021-05-12 02:01:37.837283",BNNS0801CICU001,Bundle-Ether10002.3400,,ipv4,"14.86.41.165 255.255.255.252",,1
47820,"2021-05-12 02:01:37.837327",BNNS0801CICU001,Bundle-Ether10002.3420,,ipv4,"14.22.41.165 255.255.255.252",,1
47821,"2021-05-12 02:01:37.837364",BNNS0801CICU001,Bundle-Ether10002.3480,,ipv4,"14.118.41.165 255.255.255.252",,1
47822,"2021-05-12 02:01:37.837405",BNNS0801CICU001,Bundle-Ether10003.1001,,ipv4,"10.226.178.65 255.255.255.192",,1
47823,"2021-05-12 02:01:37.837441",BNNS0801CICU001,Bundle-Ether10003.1026,,ipv4,"172.16.224.5 255.255.255.252",,1
47824,"2021-05-12 02:01:37.837477",BNNS0801CICU001,Bundle-Ether10003.1101,,ipv4,"10.229.152.105 255.255.255.252",,1
47825,"2021-05-12 02:01:37.837514",BNNS0801CICU001,Loopback0,,ipv4,"10.205.134.68 255.255.255.255",,1
47826,"2021-05-12 02:01:37.837549",BNNS0801CICU001,Loopback0,,ipv6,2405:b800::3044/128,,1
47827,"2021-05-12 02:01:37.837586",BNNS0801CICU001,Loopback1,,ipv4,"10.205.142.68 255.255.255.255",,1
47828,"2021-05-12 02:01:37.837622",BNNS0801CICU001,Loopback1,,ipv6,2405:b800::b044/128,,1
47829,"2021-05-12 02:01:37.837658",BNNS0801CICU001,MgmtEth0/RP0/CPU0/0,,ipv4,"192.168.1.1 255.255.255.0",,1
47830,"2021-05-12 02:01:37.837702",BNNS0801CICU001,MgmtEth0/RP1/CPU0/0,,ipv4,"192.168.1.2 255.255.255.0",,1
47831,"2021-05-12 02:01:37.837744",BNNS0801CICU001,TenGigE0/0/1/1.3000,,ipv4,"14.70.42.45 255.255.255.252",,1
47832,"2021-05-12 02:01:37.837783",BNNS0801CICU001,TenGigE0/0/1/1.3001,,ipv4,"14.70.42.49 255.255.255.252",,1
47833,"2021-05-12 02:01:37.837820",BNNS0801CICU001,TenGigE0/0/1/1.3020,,ipv4,"14.54.42.45 255.255.255.252",,1
47834,"2021-05-12 02:01:37.837857",BNNS0801CICU001,TenGigE0/0/1/1.3021,,ipv4,"14.54.42.49 255.255.255.252",,1
47835,"2021-05-12 02:01:37.837894",BNNS0801CICU001,TenGigE0/0/1/1.3080,,ipv4,"14.102.42.45 255.255.255.252",,1
47836,"2021-05-12 02:01:37.837929",BNNS0801CICU001,TenGigE0/0/1/1.3081,,ipv4,"14.102.42.49 255.255.255.252",,1
47837,"2021-05-12 02:01:37.837965",BNNS0801CICU001,TenGigE0/0/1/1.3200,,ipv4,"14.78.42.45 255.255.255.252",,1
