id,timestamp,hostname,interface,description,encapsulation,vlan,rewrite,input_policy,output_policy,modified_by_id
36907,2021-05-19 07:07:30.154565,CABN5695CICU001,Bundle-Ether1001.102,"PID104718310_MULTINETWORK CABLE TELEVISION, INC.__5000M",dot1q,102,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
36908,2021-05-19 07:07:30.154633,CABN5695CICU001,Bundle-Ether1003.101,PID1-19NGYXI_PHILIPPINE GLOBAL COMMUNICATIONS INC._I-GATE PREMIUM_20M,dot1q,101,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
36909,2021-05-19 07:07:30.154670,CABN5695CICU001,Bundle-Ether10002.1025,CABHUOL001 IPTV DHCP,dot1q,1025,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-IPTV-IN,,1
36910,2021-05-19 07:07:30.154701,CABN5695CICU001,Bundle-Ether10002.1039,CABHUOL001_FNAT,dot1q,1039,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
36911,2021-05-19 07:07:30.154731,CABN5695CICU001,Bundle-Ether10002.1103,THE AREA PRESIDENT OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS IN THE PHI_PID104486843_SID CJCLD01-052018-88768_I-GATE LITE_40M,dot1q,1103,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
36912,2021-05-19 07:07:30.154762,CABN5695CICU001,Bundle-Ether10002.1110,SMART COMMUNICATIONS INC._PID1-YHX5BN_I-GATE BOD_100M,dot1q,1110,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
36913,2021-05-19 07:07:30.154792,CABN5695CICU001,Bundle-Ether10002.1127,"DICT-CABANATUAN CITY, NUEVA E_PID1-1AEDL14_I-GATE DIRECT_10M",dot1q,1127,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
36914,2021-05-19 07:07:30.154823,CABN5695CICU001,Bundle-Ether10002.2024,CABHUOL001 FTTH RTP,dot1q,2024,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-VOICE-IN,,1
36915,2021-05-19 07:07:30.154852,CABN5695CICU001,Bundle-Ether10002.2030,CABHUOL001_CONS,dot1q,2030,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
36916,2021-05-19 07:07:30.154882,CABN5695CICU001,Bundle-Ether10002.2035,CABHUOL001_PFCONS,dot1q,2035,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
36917,2021-05-19 07:07:30.154911,CABN5695CICU001,Bundle-Ether10002.2050,CABHUOL001_CORP,dot1q,2050,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
36918,2021-05-19 07:07:30.154941,CABN5695CICU001,Bundle-Ether10002.2059,CABHUOL001_VOLM,dot1q,2059,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
36919,2021-05-19 07:07:30.154971,CABN5695CICU001,Bundle-Ether10002.2102,BANGKO SENTRAL NG PILIPINAS_SIDBSNP01-112020-00573_IGATE_10M,dot1q,2102,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
36920,2021-05-19 07:07:30.155000,CABN5695CICU001,Bundle-Ether10003.1025,ALGHUOL001 IPTV DHCP,dot1q,1025,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-IPTV-IN,,1
36921,2021-05-19 07:07:30.155030,CABN5695CICU001,Bundle-Ether10003.1039,ALGHUOL001_FNAT,dot1q,1039,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
36922,2021-05-19 07:07:30.155059,CABN5695CICU001,Bundle-Ether10003.2024,ALGHUOL001 FTTH RTP,dot1q,2024,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-VOICE-IN,,1
