id,timestamp,hostname,interface,description,bandwidth,mtu,input_policy,output_policy,vrf,primary_ipv4_address,primary_ipv4_mask,secondary_ipv4_address,ipv6_address,encapsulation,vlan,modified_by_id
59234,2021-05-19 07:07:54.686742,CABN5695CICU001,Bundle-Ether1001.4081,PID1-15ZFU5R_MULTINETWORK CABLE TELEVISION_CABHUDE013,,,PLDT-FIXED-CB-OM-IN,,CIPR20000_TNTMGMT_H00,10.223.184.49,255.255.255.252,,,dot1q,4081,1
59235,2021-05-19 07:07:54.686852,CABN5695CICU001,Bundle-Ether1002.102,PID1-18GML9B_SMART COMMUNICATIONS INC._BRAINS IPVPN-LL_50M,,,PLDT-ENT-55000K-AF3-UNI-IN,PLDT-ENT-55000K-AF3-UNI-OUT,IPR4515_SUNSHOP,10.229.141.189,255.255.255.252,,,dot1q,102,1
59236,2021-05-19 07:07:54.686923,CABN5695CICU001,Bundle-Ether1002.4081,PID84234_ROBINSONS CABANATUAN (SMART PROJECT)_CABHUDE014,,,PLDT-FIXED-CB-OM-IN,,CIPR20000_TNTMGMT_H00,10.223.184.53,255.255.255.252,10.223.184.73 255.255.255.252,,dot1q,4081,1
59237,2021-05-19 07:07:54.686987,CABN5695CICU001,Bundle-Ether1003.4081,PID119788_WALTERMART TALAVERA_TVRHUDE001,,,PLDT-FIXED-CB-OM-IN,,CIPR20000_TNTMGMT_H00,10.223.184.145,255.255.255.252,,,dot1q,4081,1
59238,2021-05-19 07:07:54.687050,CABN5695CICU001,Bundle-Ether10002.1026,CABHUOL001_IPTV_MULTICAST,,,PLDT-FIXED-CB-IPTV-IN,,IPR30076_IPTV,172.16.33.5,255.255.255.252,,,dot1q,1026,1
59239,2021-05-19 07:07:54.687112,CABN5695CICU001,Bundle-Ether10002.1101,PID1-137UZ3Z_KAREILA MANAGEMENT CORPORATION_BRAINS IPVPN-LL_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3547_PSMT,10.229.65.165,255.255.255.252,,,dot1q,1101,1
59240,2021-05-19 07:07:54.687175,CABN5695CICU001,Bundle-Ether10002.1102,PID1-14OGEY9_PHIL. BANK OF COMMUNICATIONS_IPVPN FTTH_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3852_PBCOM1,192.168.6.53,255.255.255.252,,,dot1q,1102,1
59241,2021-05-19 07:07:54.687241,CABN5695CICU001,Bundle-Ether10002.1104,LBC EXPRESS INC._PID1-17E2EJ2_BRAINS IPVPN-LL_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3374_LBCXPRS,10.229.106.85,255.255.255.252,,,dot1q,1104,1
59242,2021-05-19 07:07:54.687304,CABN5695CICU001,Bundle-Ether10002.1106,LBP_PID_101603539,,,PLDT-ENT-128K-AF3-UNI-IN,PLDT-ENT-128K-AF3-UNI-OUT,IPR5495_LBP,10.200.1.54,255.255.255.252,,,dot1q,1106,1
59243,2021-05-19 07:07:54.687370,CABN5695CICU001,Bundle-Ether10002.1107,JRS BUSINESS CORPORATION_PID1-17A0NSV_BRAINS IPVPN-LL_512K,,,PLDT-ENT-615K-AF3-UNI-IN,PLDT-ENT-615K-AF3-UNI-OUT,IPR7566_JRSBC,10.229.105.193,255.255.255.252,,,dot1q,1107,1
59244,2021-05-19 07:07:54.687432,CABN5695CICU001,Bundle-Ether10002.1108,HOUSEHOLD DEVELOPMENT CORPORATION_PID100677628_BRAINS IPVPN-LL_1M,,,PLDT-ENT-1200K-AF3-UNI-IN,PLDT-ENT-1200K-AF3-UNI-OUT,IPR3666_MNDALAY,10.227.148.73,255.255.255.252,,,dot1q,1108,1
59245,2021-05-19 07:07:54.687493,CABN5695CICU001,Bundle-Ether10002.1109,BNKSENT_PID_1-168KIOJ,,,PLDT-ENT-1024K-AF3-UNI-IN,PLDT-ENT-1024K-AF3-UNI-OUT,IPR7441_BNKSENT,10.1.1.117,255.255.255.252,,,dot1q,1109,1
59246,2021-05-19 07:07:54.687555,CABN5695CICU001,Bundle-Ether10002.1111,EAST WEST BANKING CORPORATION_PID1-18FI06D_IPVPN_10M,,,PLDT-ENT-12M-AF3-UNI-IN,PLDT-ENT-12M-AF3-UNI-OUT,IPR3232_EWBANK,10.228.1.237,255.255.255.252,,,dot1q,1111,1
59247,2021-05-19 07:07:54.687616,CABN5695CICU001,Bundle-Ether10002.1112,"SAN MIGUEL BREWERY, INC._PID1-1797GBA_BRAINS IPVPN-LL_4M",,,PLDT-ENT-4800K-AF3-UNI-IN,PLDT-ENT-4800K-AF3-UNI-OUT,IPR5604_SMBINC,172.31.12.202,255.255.255.252,,,dot1q,1112,1
59248,2021-05-19 07:07:54.687678,CABN5695CICU001,Bundle-Ether10002.1113,DEVELOPMENT BANK OF THE PHILIPPINES_PID1-1870OYG_SHOPS.WORK_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3290_DBP,10.212.188.229,255.255.255.252,,,dot1q,1113,1
