id,timestamp,hostname,vrf,description,ipv4_rt_import,ipv4_rt_export,ipv6_rt_import,ipv6_rt_export,ipv4_max_prefix,ipv4_max_prefix_threshold,ipv6_max_prefix,ipv6_max_prefix_threshold,modified_by_id
44413,"2021-05-18 01:49:22.446105",VGN00C15CIBE001,IPR40001_IUB,,"['1:40001', '1:50001']",['1:40001'],[],[],100000,80,,,1
44414,"2021-05-18 01:49:22.446174",VGN00C15CIBE001,IPR40000_ABIS,,"['1:40000', '1:50000']",['1:40000'],[],[],100000,80,,,1
44415,"2021-05-18 01:49:22.446215",VGN00C15CIBE001,IPR40002_SYNC,,"['1:40002', '1:50002']",['1:40002'],[],[],100000,80,,,1
44416,"2021-05-18 01:49:22.446253",VGN00C15CIBE001,IPR40004_S1_POI,,"['1:55008', '1:55009']",['1:50004'],[],[],100000,80,,,1
44417,"2021-05-18 01:49:22.446289",VGN00C15CIBE001,CIPR20000_TNTMGMT_H00,,['1:20000'],['1:20000'],['1:20000'],['1:20000'],,,,,1
44418,"2021-05-18 01:49:22.763093",NSBS0051CIBE001,IPTV-local,,[],[],[],[],,,,,1
44419,"2021-05-18 01:49:22.763162",NSBS0051CIBE001,VOIP-local,,[],[],[],[],,,,,1
44420,"2021-05-18 01:49:22.763202",NSBS0051CIBE001,IPR40004_S1,,"['1:40004', '1:50004']",[],[],[],,,,,1
44421,"2021-05-18 01:49:22.763240",NSBS0051CIBE001,IPR40001_IUB,,"['1:40001', '1:50001']",['1:40001'],[],[],100000,80,,,1
44422,"2021-05-18 01:49:22.763277",NSBS0051CIBE001,IPR40003_OAM,,"['1:40003', '1:50003']",['1:40003'],[],[],65535,70,,,1
44423,"2021-05-18 01:49:22.763313",NSBS0051CIBE001,IPR30076_IPTV,,['1:30076'],['1:30076'],[],[],40000,80,,,1
44424,"2021-05-18 01:49:22.763349",NSBS0051CIBE001,IPR40000_ABIS,,"['1:40000', '1:50000']",['1:40000'],[],[],65535,70,,,1
44425,"2021-05-18 01:49:22.763385",NSBS0051CIBE001,IPR40002_SYNC,,"['1:40002', '1:50002']",['1:40002'],[],[],100000,80,,,1
44426,"2021-05-18 01:49:22.763420",NSBS0051CIBE001,IPR40004_S1_POI,,"['1:56000', '1:56003']",['1:50004'],[],[],100000,80,,,1
44427,"2021-05-18 01:49:22.763455",NSBS0051CIBE001,IPR40024_SYNCNMS,,['1:40024'],['1:40024'],[],[],40000,80,,,1
44428,"2021-05-18 01:49:22.763490",NSBS0051CIBE001,CIPR20000_TNTMGMT_H00,,['1:20000'],['1:20000'],['1:20000'],['1:20000'],,,,,1
44429,"2021-05-18 01:49:22.763525",NSBS0051CIBE001,IPR30903_FTTH_VoIP_Prod,,['1:30903'],['1:30903'],[],[],40000,80,,,1
44430,"2021-05-18 01:49:22.929209",BCR00S33CICN002,CIPR20000_TNTMGMT_H00,,['1:20000'],['1:20000'],['1:20000'],['1:20000'],,,,,1
44431,"2021-05-18 01:49:23.086855",SILPXSILCICN002,CIPR20000_TNTMGMT_H00,,['1:20000'],['1:20000'],['1:20000'],['1:20000'],,,,,1
44432,"2021-05-18 01:49:22.638456",SPC00E67CIRO001,IPR3007_BDO,,['1:3007'],['1:3007'],[],[],8000,80,,,1
44433,"2021-05-18 01:49:22.638545",SPC00E67CIRO001,IPR3110_BOC,,['1:3110'],['1:3110'],[],[],65535,70,,,1
44434,"2021-05-18 01:49:22.638597",SPC00E67CIRO001,IPR3115_PNB,,['1:3115'],['1:3115'],[],[],8000,80,,,1
44435,"2021-05-18 01:49:22.638644",SPC00E67CIRO001,IPR3290_DBP,,['1:3290'],['1:3290'],[],[],8000,80,,,1
44436,"2021-05-18 01:49:22.638691",SPC00E67CIRO001,IPR3426_BSP,,['1:3426'],['1:3426'],[],[],8000,80,,,1
44437,"2021-05-18 01:49:22.638738",SPC00E67CIRO001,IPR3690_JFC,,['1:3690'],['1:3690'],[],[],8000,80,,,1
44438,"2021-05-18 01:49:22.638785",SPC00E67CIRO001,IPR3885_BOC,,['1:3885'],['1:3885'],[],[],8000,80,,,1
44439,"2021-05-18 01:49:22.638832",SPC00E67CIRO001,IPR40004_S1,,"['1:40004', '1:50004']",['1:50004'],[],[],100000,80,,,1
44440,"2021-05-18 01:49:22.638877",SPC00E67CIRO001,IPR5495_LBP,,['1:5495'],['1:5495'],[],[],8000,80,,,1
44441,"2021-05-18 01:49:22.638923",SPC00E67CIRO001,IPR3012_ROSE,,['1:3012'],['1:3012'],[],[],65535,70,,,1
44442,"2021-05-18 01:49:22.638969",SPC00E67CIRO001,IPR3074_PGMC,,['1:3074'],['1:3074'],[],[],8000,80,,,1
44443,"2021-05-18 01:49:22.639014",SPC00E67CIRO001,IPR3124_RCBC,,['1:3124'],['1:3124'],[],[],8000,80,,,1
44444,"2021-05-18 01:49:22.639059",SPC00E67CIRO001,IPR3423_ACDI,,['1:3423'],['1:3423'],[],[],8000,80,,,1
44445,"2021-05-18 01:49:22.639104",SPC00E67CIRO001,IPR3547_PSMT,,['1:3547'],['1:3547'],[],[],40000,80,,,1
44446,"2021-05-18 01:49:22.639149",SPC00E67CIRO001,IPR3837_SMFI,,['1:3837'],['1:3837'],[],[],8000,80,,,1
44447,"2021-05-18 01:49:22.639193",SPC00E67CIRO001,IPR3959_CSBI,,['1:3959'],['1:3959'],[],[],8000,80,,,1
44448,"2021-05-18 01:49:22.639238",SPC00E67CIRO001,IPR40003_OAM,,"['1:40003', '1:50003']",['1:40003'],[],[],100000,80,,,1
44449,"2021-05-18 01:49:22.639282",SPC00E67CIRO001,IPR40007_MBB,,['1:40007'],['1:40007'],[],[],100000,80,,,1
44450,"2021-05-18 01:49:22.639327",SPC00E67CIRO001,IPR40011_MBP,,['1:40011'],['1:40011'],[],[],100000,80,,,1
44451,"2021-05-18 01:49:22.639371",SPC00E67CIRO001,IPR5226_KSTI,,['1:5226'],['1:5226'],[],[],8000,80,,,1
44452,"2021-05-18 01:49:22.639416",SPC00E67CIRO001,IPR5264_BMMC,,['1:5264'],['1:5264'],[],[],8000,80,,,1
44453,"2021-05-18 01:49:22.639460",SPC00E67CIRO001,IPR5286_DPWH,,['1:5286'],['1:5286'],[],[],8000,80,,,1
44454,"2021-05-18 01:49:22.639504",SPC00E67CIRO001,IPR5681_SMPI,,['1:5681'],['1:5681'],[],[],8000,80,,,1
44455,"2021-05-18 01:49:22.639549",SPC00E67CIRO001,IPR5704_DSWD,,['1:5704'],['1:5704'],[],[],8000,80,,,1
44456,"2021-05-18 01:49:22.639593",SPC00E67CIRO001,IPR5727_IONE,,['1:5727'],['1:5727'],[],[],8000,80,,,1
44457,"2021-05-18 01:49:22.639638",SPC00E67CIRO001,IPR6067_IONE,,['1:6067'],['1:6067'],[],[],8000,80,,,1
44458,"2021-05-18 01:49:22.639682",SPC00E67CIRO001,IPR6166_HDMF,,['1:6166'],['1:6166'],[],[],8000,80,,,1
44459,"2021-05-18 01:49:22.639726",SPC00E67CIRO001,IPR30076_IPTV,,['1:30076'],['1:30076'],[],[],40000,80,,,1
44460,"2021-05-18 01:49:22.639770",SPC00E67CIRO001,IPR3061_SUYEN,,['1:3061'],['1:3061'],[],[],8000,80,,,1
44461,"2021-05-18 01:49:22.639814",SPC00E67CIRO001,IPR3077_BINGO,,['1:3077'],['1:3077'],[],[],8000,80,,,1
44462,"2021-05-18 01:49:22.639858",SPC00E67CIRO001,IPR3094_CHINA,,['1:3094'],['1:3094'],[],[],40000,80,,,1
44463,"2021-05-18 01:49:22.639903",SPC00E67CIRO001,IPR3195_STORE,,['1:3195'],['1:3195'],[],[],8000,80,,,1
