SITE_NAME,DEVICE_TYPE,HOSTNAME,REGION,IPV4_MANAGEMENT_IP,IPV6_MANAGEMENT_IP,IPV4_LOOPBACK0_ADDRESS,IPV6_LOOPBACK0_ADDRESS,SID_ABSOLUTE_PREFIX,SID_ABSOLUTE_STRICT_PREFIX,ANY_CAST_SID,PHASE,IPV4_ANYCAST_IP
B04 BATANGAS RBS,DN-1,BAT00B04CICN001,SL,10.205.140.82,2405:b800::a053,10.205.132.82,2405:b800::2052,23076,23077,99019,PHASE 1,10.205.184.168
B04 BATANGAS RBS,DN-2,BAT00B04CICN002,SL,10.205.140.83,2405:b800::a054,10.205.132.83,2405:b800::2053,23078,23079,99019,PHASE 1,10.205.184.168
PLDT ALABANG,PE-1,MTP00H22CIBE001,GMM,10.205.138.9,2405:b800::9009,10.205.130.9,2405:b800::1009,18016,18017,96004,PHASE 1,10.205.184.5
PLDT ALABANG,PE-2,MTP00H22CIBE002,GMM,10.205.138.10,2405:b800::900a,10.205.130.10,2405:b800::100a,18018,18019,96004,PHASE 1,10.205.184.5
PLDT ALABANG,AN-1,MTPPXALACICU001,GMM,10.205.142.1,2405:b800::b001,10.205.134.1,2405:b800::3001,33000,33001,,PHASE 1,
PLDT ALAMINOS,AN-1,SPES0788CICU001,SL,10.205.142.83,2405:b800::b053,10.205.134.83,2405:b800::3053,33084,33085,,PHASE 1,
PLDT ALITAGTAG,AN-1,ATT00T02CICU001,SL,10.205.142.64,2405:b800::b040,10.205.134.64,2405:b800::3040,33046,33047,,PHASE 1,
PLDT BAGUIO,PE-1,BGO05352CIBE001,NL,10.205.138.60,2405:b800::903c,10.205.130.60,2405:b800::103c,18098,18099,96021,PHASE 1,10.205.184.46
PLDT BAGUIO,PE-2,BGO05352CIBE002,NL,10.205.138.61,2405:b800::903d,10.205.130.61,2405:b800::103d,18100,18101,96021,PHASE 1,10.205.184.46
PLDT BALANGA,AN-1,BLAPXBLACICU001,NL,10.205.142.32,2405:b800::b020,10.205.134.32,2405:b800::3020,33006,33007,,PHASE 1,
