hostname,interface,description,vlan
CABN5695CICU001,Bundle-Ether1001.4081,PID1-15ZFU5R_MULTINETWORK CABLE TELEVISION_CABHUDE013,4081
CABN5695CICU001,Bundle-Ether1002.102,PID1-18GML9B_SMART COMMUNICATIONS INC._BRAINS IPVPN-LL_50M,102
CABN5695CICU001,Bundle-Ether1002.4081,PID84234_ROBINSONS CABANATUAN (SMART PROJECT)_CABHUDE014,4081
CABN5695CICU001,Bundle-Ether1003.4081,PID119788_WALTERMART TALAVERA_TVRHUDE001,4081
CABN5695CICU001,Bundle-Ether10002.1026,CABHUOL001_IPTV_MULTICAST,1026
CABN5695CICU001,Bundle-Ether10002.1101,PID1-137UZ3Z_KAREILA MANAGEMENT CORPORATION_BRAINS IPVPN-LL_2M,1101
CABN5695CICU001,Bundle-Ether10002.1102,PID1-14OGEY9_PHIL. BANK OF COMMUNICATIONS_IPVPN FTTH_2M,1102
CABN5695CICU001,Bundle-Ether10002.1104,LBC EXPRESS INC._PID1-17E2EJ2_BRAINS IPVPN-LL_2M,1104
CABN5695CICU001,Bundle-Ether10002.1106,LBP_PID_101603539,1106
CABN5695CICU001,Bundle-Ether10002.1107,JRS BUSINESS CORPORATION_PID1-17A0NSV_BRAINS IPVPN-LL_512K,1107
CABN5695CICU001,Bundle-Ether10002.1108,HOUSEHOLD DEVELOPMENT CORPORATION_PID100677628_BRAINS IPVPN-LL_1M,1108
CABN5695CICU001,Bundle-Ether10002.1109,BNKSENT_PID_1-168KIOJ,1109
CABN5695CICU001,Bundle-Ether10002.1111,EAST WEST BANKING CORPORATION_PID1-18FI06D_IPVPN_10M,1111
CABN5695CICU001,Bundle-Ether10002.1112,"SAN MIGUEL BREWERY, INC._PID1-1797GBA_BRAINS IPVPN-LL_4M",1112
CABN5695CICU001,Bundle-Ether10002.1113,DEVELOPMENT BANK OF THE PHILIPPINES_PID1-1870OYG_SHOPS.WORK_2M,1113
CABN5695CICU001,Bundle-Ether10002.1114,CHINA BANKING CORPORATION_PID1-180A3KE_BRAINS IPVPN-LL_4M,1114
CABN5695CICU001,Bundle-Ether10002.1117,BANK OF THE PHILIPPINE ISLANDS_PID1-19FOGU7_BRAINS IPVPN-LL_2M,1117
CABN5695CICU001,Bundle-Ether10002.1118,SM INVESTMENTS CORPORATION_PID1-18VSLHV_BRAINS IPVPN-LL_256K,1118
CABN5695CICU001,Bundle-Ether10002.1119,"MAYBANK PHILIPPINES, INCORPORATED_PID1-194FLDX_BRAINS IPVPN-LL_6M",1119
CABN5695CICU001,Bundle-Ether10002.1121,UNION BANK OF THE PHILS._PID1-19ARNXA_BRAINS IPVPN-LL_6M,1121
CABN5695CICU001,Bundle-Ether10002.1122,PRU LIFE INSURANCE CORPORATION OF U.K_PID1-1973T39_BRAINS IPVPN-LL_8M,1122
CABN5695CICU001,Bundle-Ether10002.1123,LARES INCORPORATED_PID103874890_IPVPN_1M,1123
CABN5695CICU001,Bundle-Ether10002.1125,BUREAU OF THE TREASURY_PID1-19NZY6P_IPVPN_6M,1125
CABN5695CICU001,Bundle-Ether10002.1126,LBC EXPRESS INC._PID1-1ABCYNK_IPVPN_1M,1126
CABN5695CICU001,Bundle-Ether10002.1128,LBC EXPRESS INC._PID1-1ABVGTD_IPVPN_2M,1128
CABN5695CICU001,Bundle-Ether10002.1129,SECURITY BANK CORPORATION_PID1-1A1HYB6_IPVPN_10M,1129
CABN5695CICU001,Bundle-Ether10002.2001,CABHUOL001_FTTH_NMS,2001
CABN5695CICU001,Bundle-Ether10002.2101,BANK OF THE PHILIPPINE ISLANDS_PID1-1ADQF6O_IPVPN_6M,2101
CABN5695CICU001,Bundle-Ether10002.2103,PHILIPPINE NATIONAL BANK_PID1-1AHLBPY/PNB01-012021-74649_IPVPN_4M,2103
CABN5695CICU001,Bundle-Ether10002.2104,PAWNSAFE SERVICES CORPORATION_PID104584004_SID PSC16-032021-37201_IPVPN_2M,2104
CABN5695CICU001,Bundle-Ether10002.2105,P.J. LHUILLIER INC._PID104593097/PLI02-032021-48927_IPVPN_2M,2105
CABN5695CICU001,Bundle-Ether10002.2106,P.J. LHUILLIER INC._PID104596592/PLI02-032021-91678_IPVPN_2M,2106
CABN5695CICU001,Bundle-Ether10002.2107,P.J. LHUILLIER INC._PID104596282/PLI02-032021-90778_IPVPN_2M,2107
CABN5695CICU001,Bundle-Ether10002.2108,P.J. LHUILLIER INC._PID104596436/SID PLI02-032021-91262_IPVPN_2M,2108
CABN5695CICU001,Bundle-Ether10002.2110,P.J. LHUILLIER INC._PID104596525_SIDPLI02-032021-91444_IPVPN_2M,2110
CABN5695CICU001,Bundle-Ether10002.2112,BROADVUE TRADERS CORPORATION_PID104644961/BTC08-032021-54557_IPVPN_2M,2112
CABN5695CICU001,Bundle-Ether10002.2113,ASIA UNITED BANK CORP_PID104561268_IPVPN_512K,2113
CABN5695CICU001,Bundle-Ether10002.2114,LAND BANK OF THE PHILIPPINES_IPVPN_2M,2114
CABN5695CICU001,Bundle-Ether10002.2115,EAST WEST BANK_PID1-1CWJUZS_IPVPN_10M,2115
CABN5695CICU001,Bundle-Ether10002.2116,PHILIPPINE VETERANS BANK_PID1-1CXCLIC_IPVPN_6M,2116
CABN5695CICU001,Bundle-Ether10002.2117,"BDO UNIBANK, INC._PID104697410_IPVPN_2M",2117
CABN5695CICU001,Bundle-Ether10002.2118,VERITE PAWN CORPORATION_PID104596576_IPVPN_2M,2118
CABN5695CICU001,Bundle-Ether10002.2119,MANUFACTURERS LIFE INSURANCE CO._PID104665853_IPVPN_4M_TESTWAN,2119
CABN5695CICU001,Bundle-Ether10003.1026,IPR30076_IPTV_ALGHUOL001_IPTV_Multicast,1026
CABN5695CICU001,Bundle-Ether10003.2001,IPR30044_HUANMS_ALGHUOL001_FTTH_NMS,2001
CABN5695CICU001,Bundle-Ether10006.1001,MNXFEOL001_FTTH_NMS,1001
CABN5695CICU001,Bundle-Ether10006.1026,IPR30076_IPTV_CABN5695CICU001_MNXFEOL001_IPTV_Multicast_RID171125,1026
CABN5695CICU001,Bundle-Ether10006.1103,AND BANK OF THE PHILIPPINES_PID1-1A4C10Z_IPVPN_2M,1103
CABN5695CICU001,Bundle-Ether10008.1026,SRNHUOL001 IPTV Multicast,1026
CABN5695CICU001,Bundle-Ether10008.2001,IPR30044_HUANMS_SRNHUOL001 FTTH NMS,2001
CABN5695CICU001,Bundle-Ether10011.1026,TVRHUOL001 IPTV Multicast,1026
CABN5695CICU001,Bundle-Ether10011.1102,"PID103799996_BDO UNIBANK, INC._BRAINS IPVPN-LL_2M",1102
CABN5695CICU001,Bundle-Ether10011.1103,PID1-T6DNQQ_Bureau of Internal Revenue - Main Office_BRAINS IPVPN-LL_2M,1103
CABN5695CICU001,Bundle-Ether10011.1104,"PUREGOLD PRICE CLUB, INCORPORATED_PID1-17JWDVX_IPVPN FTTH_2M",1104
CABN5695CICU001,Bundle-Ether10011.1106,EAST WEST BANKING CORPORATION_PID1-16AGIIT_BRAINS IPVPN-LL_10M,1106
CABN5695CICU001,Bundle-Ether10011.1107,BANK OF THE PHILIPPINE ISLANDS_PID1-18OGRZR_BRAINS IPVPN-LL_2M,1107
CABN5695CICU001,Bundle-Ether10011.1108,ROBINSONS SUPERMARKET - TALAVERA_PID103647835_SHOPS.WORK_2M,1108
CABN5695CICU001,Bundle-Ether10011.2001,IPR30044_HUANMS_TVRHUOL001 FTTH NMS,2001
CABN5695CICU001,Bundle-Ether10011.2101,PRODUCERS SAVINGS BANK CORPORATION_PID104635466_IPVPN_2M,2101
CABN5695CICU001,TenGigE0/0/1/8.4081,PID1-1A669KX_CITI CABLEWORLD INC._CABHUDE020,4081
