hostname,interface,description,bundle_id
CABN5695CICU001,TenGigE0/0/1/8.4081,PID1-1A669KX_CITI CABLEWORLD INC._CABHUDE020, 
CABN5695CICU001,BVI100021025,CABHUOL001 IPTV DHCP, 
CABN5695CICU001,BVI100022024,CABHUOL001 FTTH RTP, 
CABN5695CICU001,BVI100031025,ALGHUOL001 IPTV DHCP, 
CABN5695CICU001,BVI100032024,ALGHUOL001 FTTH RTP, 
CABN5695CICU001,BVI100061024,MNXFEOL001 FTTH RTP, 
CABN5695CICU001,BVI100061025,MNXFEOL001 IPTV DHCP, 
CABN5695CICU001,BVI100081025,SRNHUOL001 IPTV DHCP, 
CABN5695CICU001,BVI100082024,SRNHUOL001 FTTH RTP, 
CABN5695CICU001,BVI100111025,TVRHUOL001 IPTV DHCP, 
CABN5695CICU001,BVI100112024,TVRHUOL001 FTTH RTP, 
BATS0002CICU001,TenGigE0/0/1/2.4081,"PID1-18BKHCO_KABAYAN CABLE TV SYSTEMS, INC._SJEHUDE002", 
BATS0002CICU001,TenGigE0/1/1/3.3201,S3904_3G_IPR40003_OAM_1_CR-20210405-00532, 
BATS0002CICU001,TenGigE0/1/1/3.3221,S3904_3G_IPR40001_IUB_1_CR-20210405-00532, 
BATS0002CICU001,TenGigE0/1/1/3.3280,S3904_3G_IPR40002_SYNC_1_CR-20210405-00532, 
BATS0002CICU001,TenGigE0/1/1/3.3401,S3904_FD_IPR40003_OAM_1_CR-20210405-00532, 
BATS0002CICU001,TenGigE0/1/1/3.3421,S3904_FD_IPR40004_S1_1_CR-20210405-00532, 
BATS0002CICU001,TenGigE0/1/1/3.3481,S3904_FD_IPR40002_SYNC_1_CR-20210405-00532, 
BATS0002CICU001,TenGigE0/1/1/3.4081,RID136881_S3904 BATANGAS OFFICE - WINNABLE OFFICE_BATHUDE078, 
BATS0002CICU001,TenGigE0/2/1/3.4081,PID1-18CQUZD_PHILIPPINE GLOBAL COMMUNICATIONS INC._BATHUDE059, 
BATS0002CICU001,BVI50011025,BATS0002CICU001 _MSAN IPTV DHCP, 
BATS0002CICU001,BVI100021024,BATFEOL002 FTTH RTP, 
BATS0002CICU001,BVI100021025,BATFEOL002 IPTV DHCP, 
BATS0002CICU001,BVI100031024,BATFEOL003 FTTH RTP, 
BATS0002CICU001,BVI100031025,BATFEOL003 IPTV DHCP, 
BATS0002CICU001,BVI100041024,BATFEOL004 FTTH RTP, 
BATS0002CICU001,BVI100041025,BATFEOL004 IPTV DHCP, 
PRQG0049CIBE001,TenGigE0/1/0/47.4010,DHCP server for IPTV, 
PRQG0049CIBE001,TenGigE0/1/0/47.4011,DHCP server for VOIP, 
PRQG0049CIBE001,TenGigE0/1/0/47.4012,DHCP server for IPTV, 
PRQG0049CIBE001,TenGigE0/1/0/47.4013,DHCP server for VOIP, 
PRQG0049CIBE001,TenGigE0/6/0/47.4010,DHCP server for IPTV, 
PRQG0049CIBE001,TenGigE0/6/0/47.4011,DHCP server for VOIP, 
PRQG0049CIBE001,TenGigE0/6/0/47.4012,DHCP server for IPTV, 
PRQG0049CIBE001,TenGigE0/6/0/47.4013,DHCP server for VOIP, 
PRQG0049CIBE001,GigabitEthernet0/0/0/0.3496,***test pilot ent***, 
CKLN8004CIBE001,GigabitEthernet0/1/0/44,, 
CKLN8004CIBE001,TenGigE0/1/0/8.1601,**Connected to CKL3922CIAS003 DC2-ACI**, 
CKLN8004CIBE001,TenGigE0/1/0/8.1602,**Connected to CKL3922CIAS003 DC2-ACI**, 
CKLN8004CIBE001,TenGigE0/1/0/8.1609,**Connected to CKL3922CIAS003 DC2-ACI**, 
CKLN8004CIBE001,TenGigE0/1/0/8.1610,**Connected to CKL3922CIAS003 DC2-ACI**, 
CKLN8004CIBE001,TenGigE0/1/0/8.1651,**Connected to CKL3922CIAS003 DC2-ACI NSO VM**, 
CKLN8004CIBE001,TenGigE0/1/0/9.1605,**Connected to CKL3922CIAS004 DC2-ACI**, 
CKLN8004CIBE001,TenGigE0/1/0/9.1606,**Connected to CKL3922CIAS004 DC2-ACI**, 
CKLN8004CIBE001,TenGigE0/1/0/9.1613,**Connected to CKL3922CIAS004 DC2-ACI**, 
CKLN8004CIBE001,TenGigE0/1/0/9.1614,**Connected to CKL3922CIAS004 DC2-ACI**, 
CKLN8004CIBE001,TenGigE0/1/0/41.4072,IPR40003_OAM_CKL03922OSTC001_Access1, 
CKLN8004CIBE001,TenGigE0/1/0/41.4073,IPR40000_ABIS_CKL03922OSTC001_Access1, 
CKLN8004CIBE001,TenGigE0/1/0/41.4075,DP_CKL03922OSTC001_Access1_FREQ 8265.1_PHASE 8275.1, 
CKLN8004CIBE001,TenGigE0/1/0/41.4081,DP_CKL03922OSTC001_Access1_NMS, 
