id,timestamp,hostname,intf,ipaddr,status,proto,vrf,modified_by_id
375181,2021-05-19 07:00:39.801655,CABN5695CICU001,BVI100061024,101.28.0.1,Down,Down,IPR30903_FTTH_VoIP_Prod,1
375182,2021-05-19 07:00:39.801696,CABN5695CICU001,BVI100061025,100.28.0.1,Down,Down,IPR30076_IPTV,1
375190,2021-05-19 07:00:39.802020,CABN5695CICU001,Bundle-Ether1002,unassigned,Down,Down,default,1
375191,2021-05-19 07:00:39.802051,CABN5695CICU001,Bundle-Ether1003,unassigned,Shutdown,Down,default,1
375192,2021-05-19 07:00:39.802089,CABN5695CICU001,Bundle-Ether1004,unassigned,Shutdown,Down,default,1
375193,2021-05-19 07:00:39.802122,CABN5695CICU001,Bundle-Ether10001,unassigned,Shutdown,Down,default,1
375196,2021-05-19 07:00:39.802216,CABN5695CICU001,Bundle-Ether10004,unassigned,Shutdown,Down,default,1
375197,2021-05-19 07:00:39.802247,CABN5695CICU001,Bundle-Ether10005,unassigned,Shutdown,Down,default,1
375198,2021-05-19 07:00:39.802279,CABN5695CICU001,Bundle-Ether10006,unassigned,Shutdown,Down,default,1
375199,2021-05-19 07:00:39.802312,CABN5695CICU001,Bundle-Ether10007,unassigned,Shutdown,Down,default,1
375201,2021-05-19 07:00:39.802376,CABN5695CICU001,Bundle-Ether10009,unassigned,Shutdown,Down,default,1
375202,2021-05-19 07:00:39.802410,CABN5695CICU001,Bundle-Ether10010,unassigned,Shutdown,Down,default,1
375204,2021-05-19 07:00:39.802475,CABN5695CICU001,Bundle-Ether10012,unassigned,Shutdown,Down,default,1
375205,2021-05-19 07:00:39.802507,CABN5695CICU001,Bundle-Ether65534,unassigned,Shutdown,Down,default,1
375207,2021-05-19 07:00:39.802570,CABN5695CICU001,Bundle-Ether1002.102,10.229.141.189,Down,Down,IPR4515_SUNSHOP,1
375208,2021-05-19 07:00:39.802601,CABN5695CICU001,Bundle-Ether1003.101,unassigned,Shutdown,Down,default,1
375210,2021-05-19 07:00:39.802664,CABN5695CICU001,Bundle-Ether1002.4081,10.223.184.53,Down,Down,CIPR20000_TNTMGMT_H00,1
