HOSTNAME,PLATFORM,MODULES
MTP00H22CIBE001,ASR9910 ,"[{'location': '0/RSP0/CPU0', 'card_type': 'A9K-RSP5-TR(Active)'}, {'location': '0/RSP1/CPU0', 'card_type': 'A9K-RSP5-TR(Standby)'}, {'location': '0/FT0', 'card_type': 'ASR-9910-FAN'}, {'location': '0/FT1', 'card_type': 'ASR-9910-FAN'}, {'location': '0/0/CPU0', 'card_type': 'A99-32X100GE-TR'}, {'location': '0/1/CPU0', 'card_type': 'A99-48X10GE-1G-SE'}, {'location': '0/3/CPU0', 'card_type': 'A99-48X10GE-1G-SE'}, {'location': '0/6/CPU0', 'card_type': 'A99-48X10GE-1G-SE'}, {'location': '0/7/CPU0', 'card_type': 'A99-32X100GE-TR'}, {'location': '0/FC0', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC1', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC2', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC3', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC4', 'card_type': 'A99-SFC3-S'}, {'location': '0/PT0', 'card_type': 'A9K-DC-PEM-V3'}, {'location': '0/PT1', 'card_type': 'A9K-DC-PEM-V3'}]"
MTP00H22CIBE002,ASR9910 ,"[{'location': '0/RSP0/CPU0', 'card_type': 'A9K-RSP5-TR(Active)'}, {'location': '0/RSP1/CPU0', 'card_type': 'A9K-RSP5-TR(Standby)'}, {'location': '0/FT0', 'card_type': 'ASR-9910-FAN'}, {'location': '0/FT1', 'card_type': 'ASR-9910-FAN'}, {'location': '0/0/CPU0', 'card_type': 'A99-32X100GE-TR'}, {'location': '0/1/CPU0', 'card_type': 'A99-48X10GE-1G-SE'}, {'location': '0/3/CPU0', 'card_type': 'A99-48X10GE-1G-SE'}, {'location': '0/6/CPU0', 'card_type': 'A99-48X10GE-1G-SE'}, {'location': '0/7/CPU0', 'card_type': 'A99-32X100GE-TR'}, {'location': '0/FC0', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC1', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC2', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC3', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC4', 'card_type': 'A99-SFC3-S'}, {'location': '0/PT0', 'card_type': 'A9K-DC-PEM-V3'}, {'location': '0/PT1', 'card_type': 'A9K-DC-PEM-V3'}]"
MTPPXALACICU001,NCS5508,"[{'location': '0/0/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/0/2', 'card_type': 'NC55-MPA-4H-S'}, {'location': '0/0/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/0/NPU0', 'card_type': 'Slice'}, {'location': '0/1/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/1/2', 'card_type': 'NC55-MPA-4H-S'}, {'location': '0/1/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/1/NPU0', 'card_type': 'Slice'}, {'location': '0/2/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/2/2', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/2/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/2/NPU0', 'card_type': 'Slice'}, {'location': '0/3/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/3/2', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/3/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/3/NPU0', 'card_type': 'Slice'}, {'location': '0/RP0/CPU0', 'card_type': 'NC55-RP-E(Standby)'}, {'location': '0/RP1/CPU0', 'card_type': 'NC55-RP-E(Active)'}, {'location': '0/FC0', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC1', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC2', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC3', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC4', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC5', 'card_type': 'NC55-5508-FC'}, {'location': '0/FT0', 'card_type': 'NC55-5508-FAN'}, {'location': '0/FT1', 'card_type': 'NC55-5508-FAN'}, {'location': '0/FT2', 'card_type': 'NC55-5508-FAN'}, {'location': '0/PM0', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM1', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM2', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM3', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM4', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM5', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM6', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM7', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/SC0', 'card_type': 'NC55-SC'}, {'location': '0/SC1', 'card_type': 'NC55-SC'}]"
BGO05352CIBE001,ASR9910 ,"[{'location': '0/RSP0/CPU0', 'card_type': 'A9K-RSP5-TR(Standby)'}, {'location': '0/RSP1/CPU0', 'card_type': 'A9K-RSP5-TR(Active)'}, {'location': '0/FT0', 'card_type': 'ASR-9910-FAN'}, {'location': '0/FT1', 'card_type': 'ASR-9910-FAN'}, {'location': '0/0/CPU0', 'card_type': 'A99-32X100GE-TR'}, {'location': '0/1/CPU0', 'card_type': 'A99-48X10GE-1G-SE'}, {'location': '0/7/CPU0', 'card_type': 'A99-32X100GE-TR'}, {'location': '0/FC0', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC1', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC2', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC3', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC4', 'card_type': 'A99-SFC3-S'}, {'location': '0/PT0', 'card_type': 'A9K-DC-PEM-V3'}, {'location': '0/PT1', 'card_type': 'A9K-DC-PEM-V3'}]"
BGO05352CIBE002,ASR9910 ,"[{'location': '0/RSP0/CPU0', 'card_type': 'A9K-RSP5-TR(Active)'}, {'location': '0/RSP1/CPU0', 'card_type': 'A9K-RSP5-TR(Standby)'}, {'location': '0/FT0', 'card_type': 'ASR-9910-FAN'}, {'location': '0/FT1', 'card_type': 'ASR-9910-FAN'}, {'location': '0/0/CPU0', 'card_type': 'A99-32X100GE-TR'}, {'location': '0/1/CPU0', 'card_type': 'A99-48X10GE-1G-SE'}, {'location': '0/7/CPU0', 'card_type': 'A99-32X100GE-TR'}, {'location': '0/FC0', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC1', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC2', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC3', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC4', 'card_type': 'A99-SFC3-S'}, {'location': '0/PT0', 'card_type': 'A9K-DC-PEM-V3'}, {'location': '0/PT1', 'card_type': 'A9K-DC-PEM-V3'}]"
BLA00N55CICU001,NCS5508,"[{'location': '0/0/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/0/2', 'card_type': 'NC55-MPA-4H-S'}, {'location': '0/0/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/0/NPU0', 'card_type': 'Slice'}, {'location': '0/1/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/1/2', 'card_type': 'NC55-MPA-4H-S'}, {'location': '0/1/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/1/NPU0', 'card_type': 'Slice'}, {'location': '0/2/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/2/2', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/2/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/2/NPU0', 'card_type': 'Slice'}, {'location': '0/3/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/3/2', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/3/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/3/NPU0', 'card_type': 'Slice'}, {'location': '0/4/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/4/2', 'card_type': 'NC55-MPA-4H-S'}, {'location': '0/4/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/4/NPU0', 'card_type': 'Slice'}, {'location': '0/5/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/5/2', 'card_type': 'NC55-MPA-4H-S'}, {'location': '0/5/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/5/NPU0', 'card_type': 'Slice'}, {'location': '0/RP0/CPU0', 'card_type': 'NC55-RP-E(Active)'}, {'location': '0/RP1/CPU0', 'card_type': 'NC55-RP-E(Standby)'}, {'location': '0/FC0', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC1', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC2', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC3', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC4', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC5', 'card_type': 'NC55-5508-FC'}, {'location': '0/FT0', 'card_type': 'NC55-5508-FAN'}, {'location': '0/FT1', 'card_type': 'NC55-5508-FAN'}, {'location': '0/FT2', 'card_type': 'NC55-5508-FAN'}, {'location': '0/PM0', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM1', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM2', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM3', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM4', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM5', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM6', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM7', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/SC0', 'card_type': 'NC55-SC'}, {'location': '0/SC1', 'card_type': 'NC55-SC'}]"
BATS0002CIBE001,ASR9910 ,"[{'location': '0/RSP0/CPU0', 'card_type': 'A9K-RSP5-TR(Active)'}, {'location': '0/RSP1/CPU0', 'card_type': 'A9K-RSP5-TR(Standby)'}, {'location': '0/FT0', 'card_type': 'ASR-9910-FAN'}, {'location': '0/FT1', 'card_type': 'ASR-9910-FAN'}, {'location': '0/0/CPU0', 'card_type': 'A99-32X100GE-TR'}, {'location': '0/1/CPU0', 'card_type': 'A99-48X10GE-1G-SE'}, {'location': '0/6/CPU0', 'card_type': 'A99-48X10GE-1G-SE'}, {'location': '0/7/CPU0', 'card_type': 'A99-32X100GE-TR'}, {'location': '0/FC0', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC1', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC2', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC3', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC4', 'card_type': 'A99-SFC3-S'}, {'location': '0/PT0', 'card_type': 'A9K-DC-PEM-V3'}, {'location': '0/PT1', 'card_type': 'A9K-DC-PEM-V3'}]"
BATS0002CIBE002,ASR9910 ,"[{'location': '0/RSP0/CPU0', 'card_type': 'A9K-RSP5-TR(Active)'}, {'location': '0/RSP1/CPU0', 'card_type': 'A9K-RSP5-TR(Standby)'}, {'location': '0/FT0', 'card_type': 'ASR-9910-FAN'}, {'location': '0/FT1', 'card_type': 'ASR-9910-FAN'}, {'location': '0/0/CPU0', 'card_type': 'A99-32X100GE-TR'}, {'location': '0/1/CPU0', 'card_type': 'A99-48X10GE-1G-SE'}, {'location': '0/6/CPU0', 'card_type': 'A99-48X10GE-1G-SE'}, {'location': '0/7/CPU0', 'card_type': 'A99-32X100GE-TR'}, {'location': '0/FC0', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC1', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC2', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC3', 'card_type': 'A99-SFC3-S'}, {'location': '0/FC4', 'card_type': 'A99-SFC3-S'}, {'location': '0/PT0', 'card_type': 'A9K-DC-PEM-V3'}, {'location': '0/PT1', 'card_type': 'A9K-DC-PEM-V3'}]"
BATS0002CICU001,NCS5508,"[{'location': '0/0/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/0/2', 'card_type': 'NC55-MPA-4H-S'}, {'location': '0/0/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/0/NPU0', 'card_type': 'Slice'}, {'location': '0/1/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/1/2', 'card_type': 'NC55-MPA-4H-S'}, {'location': '0/1/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/1/NPU0', 'card_type': 'Slice'}, {'location': '0/2/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/2/2', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/2/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/2/NPU0', 'card_type': 'Slice'}, {'location': '0/3/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/3/2', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/3/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/3/NPU0', 'card_type': 'Slice'}, {'location': '0/RP0/CPU0', 'card_type': 'NC55-RP-E(Active)'}, {'location': '0/RP1/CPU0', 'card_type': 'NC55-RP-E(Standby)'}, {'location': '0/FC0', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC1', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC2', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC3', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC4', 'card_type': 'NC55-5508-FC'}, {'location': '0/FC5', 'card_type': 'NC55-5508-FC'}, {'location': '0/FT0', 'card_type': 'NC55-5508-FAN'}, {'location': '0/FT1', 'card_type': 'NC55-5508-FAN'}, {'location': '0/FT2', 'card_type': 'NC55-5508-FAN'}, {'location': '0/PM0', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM1', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM2', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM3', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM4', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM5', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM6', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM7', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/SC0', 'card_type': 'NC55-SC'}, {'location': '0/SC1', 'card_type': 'NC55-SC'}]"
MRVPXBPZCICU001,NCS5504,"[{'location': '0/0/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/0/2', 'card_type': 'NC55-MPA-4H-S'}, {'location': '0/0/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/0/NPU0', 'card_type': 'Slice'}, {'location': '0/1/1', 'card_type': 'NC55-MPA-12T-S'}, {'location': '0/1/2', 'card_type': 'NC55-MPA-4H-S'}, {'location': '0/1/CPU0', 'card_type': 'NC55-MOD-A-SE-S'}, {'location': '0/1/NPU0', 'card_type': 'Slice'}, {'location': '0/RP0/CPU0', 'card_type': 'NC55-RP-E(Active)'}, {'location': '0/RP1/CPU0', 'card_type': 'NC55-RP-E(Standby)'}, {'location': '0/FC0', 'card_type': 'NC55-5504-FC'}, {'location': '0/FC1', 'card_type': 'NC55-5504-FC'}, {'location': '0/FC2', 'card_type': 'NC55-5504-FC'}, {'location': '0/FC3', 'card_type': 'NC55-5504-FC'}, {'location': '0/FC4', 'card_type': 'NC55-5504-FC'}, {'location': '0/FC5', 'card_type': 'NC55-5504-FC'}, {'location': '0/FT0', 'card_type': 'NC55-5504-FAN'}, {'location': '0/FT1', 'card_type': 'NC55-5504-FAN'}, {'location': '0/FT2', 'card_type': 'NC55-5504-FAN'}, {'location': '0/PM0', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM1', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM2', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/PM3', 'card_type': 'NC55-PWR-3KW-DC'}, {'location': '0/SC0', 'card_type': 'NC55-SC'}, {'location': '0/SC1', 'card_type': 'NC55-SC'}]"
