timestamp_x,timestamp_x,HOSTNAME,SOURCE_INTERFACE_ID,SOURCE_BUNDLE_INTERFACE,SOURCE_ADDRESS,TARGET_HOSTNAME,TARGET_INTERFACE_ID,TARGET_BUNDLE_INTERFACE,TARGET_ADDRESS
2021-05-14 05:03:24.665839,2021-05-14 05:10:44.631335,SFUN3814CIBP001,HundredGigE0/0/0/0,Bundle-Ether31,10.205.192.65/30,MKTG3610CIBP001,HundredGigE0/0/0/35,Bundle-Ether33,10.205.192.66/30
2021-05-14 05:03:24.665839,2021-05-14 05:10:44.631335,SFUN3814CIBP001,HundredGigE0/0/0/0,Bundle-Ether31,2405:b800:1::20/127,MKTG3610CIBP001,HundredGigE0/0/0/35,Bundle-Ether33,2405:b800:1::21/127
2021-05-14 05:03:24.665914,2021-05-14 05:10:44.104143,SFUN3814CIBP001,HundredGigE0/0/0/1,Bundle-Ether35,10.205.196.146/30,LAGN3816CIBE001,HundredGigE0/0/0/0,Bundle-Ether31,10.205.196.145/30
2021-05-14 05:03:24.665914,2021-05-14 05:10:44.104143,SFUN3814CIBP001,HundredGigE0/0/0/1,Bundle-Ether35,2405:b800:1::269/127,LAGN3816CIBE001,HundredGigE0/0/0/0,Bundle-Ether31,2405:b800:1::268/127
2021-05-14 05:03:24.665960,2021-05-14 05:10:56.520587,SFUN3814CIBP001,HundredGigE0/0/0/3,Bundle-Ether43,10.205.196.210/30,CAB06118CIBE001,HundredGigE0/0/0/0,Bundle-Ether31,10.205.196.209/30
2021-05-14 05:03:24.665960,2021-05-14 05:10:56.520587,SFUN3814CIBP001,HundredGigE0/0/0/3,Bundle-Ether43,2405:b800:1::289/127,CAB06118CIBE001,HundredGigE0/0/0/0,Bundle-Ether31,2405:b800:1::288/127
2021-05-14 05:03:24.666000,2021-05-14 05:10:37.542719,SFUN3814CIBP001,HundredGigE0/0/0/4,Bundle-Ether47,10.205.196.242/30,TUGN8519CIBE001,HundredGigE0/0/0/0,Bundle-Ether31,10.205.196.241/30
2021-05-14 05:03:24.666000,2021-05-14 05:10:37.542719,SFUN3814CIBP001,HundredGigE0/0/0/4,Bundle-Ether47,2405:b800:1::299/127,TUGN8519CIBE001,HundredGigE0/0/0/0,Bundle-Ether31,2405:b800:1::298/127
2021-05-14 05:03:24.666040,2021-05-14 05:10:59.168139,SFUN3814CIBP001,HundredGigE0/0/0/5,Bundle-Ether34,10.205.196.138/30,SFUN3814CIBE002,HundredGigE0/0/0/12,Bundle-Ether31,10.205.196.137/30
2021-05-14 05:03:24.666040,2021-05-14 05:10:59.168139,SFUN3814CIBP001,HundredGigE0/0/0/5,Bundle-Ether34,2405:b800:1::265/127,SFUN3814CIBE002,HundredGigE0/0/0/12,Bundle-Ether31,2405:b800:1::264/127
2021-05-14 05:03:24.666079,2021-05-14 05:10:34.869145,SFUN3814CIBP001,HundredGigE0/0/0/31,Bundle-Ether49,10.205.197.2/30,BGO05352CIBE001,HundredGigE0/0/0/0,Bundle-Ether31,10.205.197.1/30
2021-05-14 05:03:24.666079,2021-05-14 05:10:34.869145,SFUN3814CIBP001,HundredGigE0/0/0/31,Bundle-Ether49,2405:b800:1::2a1/127,BGO05352CIBE001,HundredGigE0/0/0/0,Bundle-Ether31,2405:b800:1::2a0/127
2021-05-14 05:03:24.666119,2021-05-14 05:10:35.700685,SFUN3814CIBP001,HundredGigE0/0/0/32,Bundle-Ether45,10.205.196.226/30,VGN00C15CIBE001,HundredGigE0/0/0/0,Bundle-Ether31,10.205.196.225/30
2021-05-14 05:03:24.666119,2021-05-14 05:10:35.700685,SFUN3814CIBP001,HundredGigE0/0/0/32,Bundle-Ether45,2405:b800:1::291/127,VGN00C15CIBE001,HundredGigE0/0/0/0,Bundle-Ether31,2405:b800:1::290/127
2021-05-14 05:03:24.666158,2021-05-14 05:10:47.959947,SFUN3814CIBP001,HundredGigE0/0/0/33,Bundle-Ether41,10.205.196.194/30,DGPN3809CIBE001,HundredGigE0/0/0/0,Bundle-Ether31,10.205.196.193/30
2021-05-14 05:03:24.666158,2021-05-14 05:10:47.959947,SFUN3814CIBP001,HundredGigE0/0/0/33,Bundle-Ether41,2405:b800:1::281/127,DGPN3809CIBE001,HundredGigE0/0/0/0,Bundle-Ether31,2405:b800:1::280/127
2021-05-14 05:03:24.666196,2021-05-14 05:10:38.118028,SFUN3814CIBP001,HundredGigE0/0/0/35,Bundle-Ether33,10.205.196.130/30,SFUN3814CIBE001,HundredGigE0/0/0/0,Bundle-Ether31,10.205.196.129/30
2021-05-14 05:03:24.666196,2021-05-14 05:10:38.118028,SFUN3814CIBP001,HundredGigE0/0/0/35,Bundle-Ether33,2405:b800:1::261/127,SFUN3814CIBE001,HundredGigE0/0/0/0,Bundle-Ether31,2405:b800:1::260/127
2021-05-14 05:03:24.666235,2021-05-14 05:10:58.001015,SFUN3814CIBP001,HundredGigE0/1/0/0,Bundle-Ether32,10.205.192.73/30,SPC00E67CIBP001,HundredGigE0/1/0/0,Bundle-Ether33,10.205.192.74/30
2021-05-14 05:03:24.666235,2021-05-14 05:10:58.001015,SFUN3814CIBP001,HundredGigE0/1/0/0,Bundle-Ether32,2405:b800:1::24/127,SPC00E67CIBP001,HundredGigE0/1/0/0,Bundle-Ether33,2405:b800:1::25/127
2021-05-14 05:03:24.666273,2021-05-14 05:10:52.193878,SFUN3814CIBP001,HundredGigE0/1/0/1,Bundle-Ether36,10.205.196.154/30,LAGN3816CIBE002,HundredGigE0/0/0/0,Bundle-Ether31,10.205.196.153/30
2021-05-14 05:03:24.666273,2021-05-14 05:10:52.193878,SFUN3814CIBP001,HundredGigE0/1/0/1,Bundle-Ether36,2405:b800:1::26d/127,LAGN3816CIBE002,HundredGigE0/0/0/0,Bundle-Ether31,2405:b800:1::26c/127
2021-05-14 05:03:24.666312,2021-05-14 05:10:36.386472,SFUN3814CIBP001,HundredGigE0/1/0/3,Bundle-Ether44,10.205.196.218/30,CAB06118CIBE002,HundredGigE0/0/0/0,Bundle-Ether31,10.205.196.217/30
2021-05-14 05:03:24.666312,2021-05-14 05:10:36.386472,SFUN3814CIBP001,HundredGigE0/1/0/3,Bundle-Ether44,2405:b800:1::28d/127,CAB06118CIBE002,HundredGigE0/0/0/0,Bundle-Ether31,2405:b800:1::28c/127
2021-05-14 05:03:24.666350,2021-05-14 05:11:00.158095,SFUN3814CIBP001,HundredGigE0/1/0/4,Bundle-Ether48,10.205.196.250/30,TUGN8519CIBE002,HundredGigE0/0/0/0,Bundle-Ether31,10.205.196.249/30
2021-05-14 05:03:24.666350,2021-05-14 05:11:00.158095,SFUN3814CIBP001,HundredGigE0/1/0/4,Bundle-Ether48,2405:b800:1::29d/127,TUGN8519CIBE002,HundredGigE0/0/0/0,Bundle-Ether31,2405:b800:1::29c/127
2021-05-14 05:03:24.666389,2021-05-14 05:10:38.118324,SFUN3814CIBP001,HundredGigE0/1/0/10,Bundle-Ether33,10.205.196.130/30,SFUN3814CIBE001,HundredGigE0/0/0/21,Bundle-Ether31,10.205.196.129/30
2021-05-14 05:03:24.666389,2021-05-14 05:10:38.118324,SFUN3814CIBP001,HundredGigE0/1/0/10,Bundle-Ether33,2405:b800:1::261/127,SFUN3814CIBE001,HundredGigE0/0/0/21,Bundle-Ether31,2405:b800:1::260/127
2021-05-14 05:03:24.666465,2021-05-14 05:10:54.667060,SFUN3814CIBP001,HundredGigE0/1/0/32,Bundle-Ether46,10.205.196.234/30,VGN00C15CIBE002,HundredGigE0/0/0/0,Bundle-Ether31,10.205.196.233/30
2021-05-14 05:03:24.666465,2021-05-14 05:10:54.667060,SFUN3814CIBP001,HundredGigE0/1/0/32,Bundle-Ether46,2405:b800:1::295/127,VGN00C15CIBE002,HundredGigE0/0/0/0,Bundle-Ether31,2405:b800:1::294/127
2021-05-14 05:03:24.666504,2021-05-14 05:10:41.246225,SFUN3814CIBP001,HundredGigE0/1/0/33,Bundle-Ether42,10.205.196.202/30,DGPN3809CIBE002,HundredGigE0/0/0/0,Bundle-Ether31,10.205.196.201/30
2021-05-14 05:03:24.666504,2021-05-14 05:10:41.246225,SFUN3814CIBP001,HundredGigE0/1/0/33,Bundle-Ether42,2405:b800:1::285/127,DGPN3809CIBE002,HundredGigE0/0/0/0,Bundle-Ether31,2405:b800:1::284/127
2021-05-14 05:03:24.666542,2021-05-14 05:10:59.167926,SFUN3814CIBP001,HundredGigE0/1/0/35,Bundle-Ether34,10.205.196.138/30,SFUN3814CIBE002,HundredGigE0/0/0/0,Bundle-Ether31,10.205.196.137/30
