id,timestamp,hostname,interface,interface_type,ip_type,address,type,modified_by_id
96724,2021-05-19 07:07:02.716406,CABN5695CICU001,Bundle-Ether251,,ipv4,10.205.230.201 255.255.255.252,,1
96725,2021-05-19 07:07:02.716460,CABN5695CICU001,Bundle-Ether251,,ipv6,2405:b800:1:2000::364/127,,1
96726,2021-05-19 07:07:02.716490,CABN5695CICU001,Bundle-Ether252,,ipv4,10.205.230.205 255.255.255.252,,1
96727,2021-05-19 07:07:02.716516,CABN5695CICU001,Bundle-Ether252,,ipv6,2405:b800:1:2000::366/127,,1
96728,2021-05-19 07:07:02.716540,CABN5695CICU001,Bundle-Ether1001.4081,,ipv4,10.223.184.49 255.255.255.252,,1
96729,2021-05-19 07:07:02.716565,CABN5695CICU001,Bundle-Ether1002.102,,ipv4,10.229.141.189 255.255.255.252,,1
96730,2021-05-19 07:07:02.716591,CABN5695CICU001,Bundle-Ether1002.4081,,ipv4,10.223.184.53 255.255.255.252,,1
96731,2021-05-19 07:07:02.716617,CABN5695CICU001,Bundle-Ether1002.4081,,ipv4,10.223.184.73 255.255.255.252,secondary,1
96732,2021-05-19 07:07:02.716643,CABN5695CICU001,Bundle-Ether1003.4081,,ipv4,10.223.184.145 255.255.255.252,,1
96733,2021-05-19 07:07:02.716668,CABN5695CICU001,Bundle-Ether10002.1026,,ipv4,172.16.33.5 255.255.255.252,,1
96734,2021-05-19 07:07:02.716694,CABN5695CICU001,Bundle-Ether10002.1101,,ipv4,10.229.65.165 255.255.255.252,,1
96735,2021-05-19 07:07:02.716719,CABN5695CICU001,Bundle-Ether10002.1102,,ipv4,192.168.6.53 255.255.255.252,,1
96736,2021-05-19 07:07:02.716744,CABN5695CICU001,Bundle-Ether10002.1104,,ipv4,10.229.106.85 255.255.255.252,,1
96737,2021-05-19 07:07:02.716769,CABN5695CICU001,Bundle-Ether10002.1106,,ipv4,10.200.1.54 255.255.255.252,,1
96738,2021-05-19 07:07:02.716794,CABN5695CICU001,Bundle-Ether10002.1107,,ipv4,10.229.105.193 255.255.255.252,,1
96739,2021-05-19 07:07:02.716819,CABN5695CICU001,Bundle-Ether10002.1108,,ipv4,10.227.148.73 255.255.255.252,,1
96740,2021-05-19 07:07:02.716844,CABN5695CICU001,Bundle-Ether10002.1109,,ipv4,10.1.1.117 255.255.255.252,,1
96741,2021-05-19 07:07:02.716868,CABN5695CICU001,Bundle-Ether10002.1111,,ipv4,10.228.1.237 255.255.255.252,,1
96742,2021-05-19 07:07:02.716893,CABN5695CICU001,Bundle-Ether10002.1112,,ipv4,172.31.12.202 255.255.255.252,,1
96743,2021-05-19 07:07:02.716917,CABN5695CICU001,Bundle-Ether10002.1113,,ipv4,10.212.188.229 255.255.255.252,,1
96744,2021-05-19 07:07:02.716941,CABN5695CICU001,Bundle-Ether10002.1114,,ipv4,10.229.123.69 255.255.255.252,,1
96745,2021-05-19 07:07:02.716966,CABN5695CICU001,Bundle-Ether10002.1117,,ipv4,10.227.113.145 255.255.255.248,,1
96746,2021-05-19 07:07:02.716991,CABN5695CICU001,Bundle-Ether10002.1118,,ipv4,10.229.136.245 255.255.255.252,,1
96747,2021-05-19 07:07:02.717015,CABN5695CICU001,Bundle-Ether10002.1119,,ipv4,10.229.149.61 255.255.255.252,,1
96748,2021-05-19 07:07:02.717040,CABN5695CICU001,Bundle-Ether10002.1121,,ipv4,10.8.1.157 255.255.255.252,,1
96749,2021-05-19 07:07:02.717066,CABN5695CICU001,Bundle-Ether10002.1122,,ipv4,10.212.122.65 255.255.255.248,,1
96750,2021-05-19 07:07:02.717090,CABN5695CICU001,Bundle-Ether10002.1123,,ipv4,172.21.66.1 255.255.255.252,,1
96751,2021-05-19 07:07:02.717115,CABN5695CICU001,Bundle-Ether10002.1125,,ipv4,10.229.170.157 255.255.255.252,,1
96752,2021-05-19 07:07:02.717140,CABN5695CICU001,Bundle-Ether10002.1126,,ipv4,10.229.173.53 255.255.255.252,,1
96753,2021-05-19 07:07:02.717164,CABN5695CICU001,Bundle-Ether10002.1128,,ipv4,10.229.173.181 255.255.255.252,,1
96754,2021-05-19 07:07:02.717189,CABN5695CICU001,Bundle-Ether10002.1129,,ipv4,172.17.14.118 255.255.255.252,,1
96755,2021-05-19 07:07:02.717214,CABN5695CICU001,Bundle-Ether10002.2001,,ipv4,10.226.50.193 255.255.255.192,,1
96756,2021-05-19 07:07:02.717238,CABN5695CICU001,Bundle-Ether10002.2101,,ipv4,10.0.76.241 255.255.255.252,,1
96757,2021-05-19 07:07:02.717262,CABN5695CICU001,Bundle-Ether10002.2103,,ipv4,10.229.191.125 255.255.255.252,,1
96758,2021-05-19 07:07:02.717287,CABN5695CICU001,Bundle-Ether10002.2104,,ipv4,10.212.130.1 255.255.255.248,,1
96759,2021-05-19 07:07:02.717311,CABN5695CICU001,Bundle-Ether10002.2105,,ipv4,10.229.200.113 255.255.255.252,,1
96760,2021-05-19 07:07:02.717335,CABN5695CICU001,Bundle-Ether10002.2106,,ipv4,10.229.200.181 255.255.255.252,,1
96761,2021-05-19 07:07:02.717360,CABN5695CICU001,Bundle-Ether10002.2107,,ipv4,10.227.241.113 255.255.255.248,,1
96762,2021-05-19 07:07:02.717385,CABN5695CICU001,Bundle-Ether10002.2108,,ipv4,10.229.200.233 255.255.255.252,,1
96763,2021-05-19 07:07:02.717409,CABN5695CICU001,Bundle-Ether10002.2110,,ipv4,10.212.122.170 255.255.255.248,,1
96764,2021-05-19 07:07:02.717433,CABN5695CICU001,Bundle-Ether10002.2112,,ipv4,10.212.125.137 255.255.255.248,,1
96765,2021-05-19 07:07:02.717458,CABN5695CICU001,Bundle-Ether10002.2113,,ipv4,10.228.177.241 255.255.255.252,,1
96766,2021-05-19 07:07:02.717482,CABN5695CICU001,Bundle-Ether10002.2114,,ipv4,10.100.1.54 255.255.255.252,,1
96767,2021-05-19 07:07:02.717506,CABN5695CICU001,Bundle-Ether10002.2115,,ipv4,10.227.139.193 255.255.255.252,,1
96768,2021-05-19 07:07:02.717530,CABN5695CICU001,Bundle-Ether10002.2116,,ipv4,10.228.174.217 255.255.255.252,,1
96769,2021-05-19 07:07:02.717554,CABN5695CICU001,Bundle-Ether10002.2117,,ipv4,172.25.52.138 255.255.255.248,,1
96770,2021-05-19 07:07:02.717579,CABN5695CICU001,Bundle-Ether10002.2118,,ipv4,10.228.101.105 255.255.255.252,,1
96771,2021-05-19 07:07:02.717603,CABN5695CICU001,Bundle-Ether10002.2119,,ipv4,10.229.111.153 255.255.255.252,,1
96772,2021-05-19 07:07:02.717627,CABN5695CICU001,Bundle-Ether10003.1026,,ipv4,172.16.102.29 255.255.255.252,,1
96773,2021-05-19 07:07:02.717652,CABN5695CICU001,Bundle-Ether10003.2001,,ipv4,10.226.29.129 255.255.255.192,,1
96774,2021-05-19 07:07:02.717677,CABN5695CICU001,Bundle-Ether10006.1001,,ipv4,10.226.117.129 255.255.255.192,,1
96775,2021-05-19 07:07:02.717716,CABN5695CICU001,Bundle-Ether10006.1026,,ipv4,172.16.102.5 255.255.255.252,,1
96776,2021-05-19 07:07:02.717755,CABN5695CICU001,Bundle-Ether10006.1103,,ipv4,10.202.4.182 255.255.255.252,,1
96777,2021-05-19 07:07:02.717780,CABN5695CICU001,Bundle-Ether10008.1026,,ipv4,172.16.102.41 255.255.255.252,,1
96778,2021-05-19 07:07:02.717804,CABN5695CICU001,Bundle-Ether10008.2001,,ipv4,10.226.41.129 255.255.255.192,,1
96779,2021-05-19 07:07:02.717828,CABN5695CICU001,Bundle-Ether10011.1026,,ipv4,172.16.102.25 255.255.255.252,,1
96780,2021-05-19 07:07:02.717852,CABN5695CICU001,Bundle-Ether10011.1102,,ipv4,172.20.209.130 255.255.255.248,,1
96781,2021-05-19 07:07:02.717876,CABN5695CICU001,Bundle-Ether10011.1103,,ipv4,10.228.217.161 255.255.255.252,,1
96782,2021-05-19 07:07:02.717900,CABN5695CICU001,Bundle-Ether10011.1104,,ipv4,10.229.105.149 255.255.255.252,,1
96783,2021-05-19 07:07:02.717924,CABN5695CICU001,Bundle-Ether10011.1106,,ipv4,10.100.159.5 255.255.255.252,,1
96784,2021-05-19 07:07:02.717948,CABN5695CICU001,Bundle-Ether10011.1107,,ipv4,10.229.141.1 255.255.255.252,,1
96785,2021-05-19 07:07:02.717972,CABN5695CICU001,Bundle-Ether10011.1108,,ipv4,10.228.171.177 255.255.255.252,,1
96786,2021-05-19 07:07:02.717997,CABN5695CICU001,Bundle-Ether10011.2001,,ipv4,10.226.28.1 255.255.255.192,,1
96787,2021-05-19 07:07:02.718021,CABN5695CICU001,Bundle-Ether10011.2101,,ipv4,10.213.210.89 255.255.255.248,,1
96788,2021-05-19 07:07:02.718046,CABN5695CICU001,Loopback0,,ipv4,10.205.134.35 255.255.255.255,,1
96789,2021-05-19 07:07:02.718072,CABN5695CICU001,Loopback0,,ipv6,2405:b800::3023/128,,1
96790,2021-05-19 07:07:02.718096,CABN5695CICU001,Loopback1,,ipv4,10.205.142.35 255.255.255.255,,1
96791,2021-05-19 07:07:02.718121,CABN5695CICU001,Loopback1,,ipv6,2405:b800::b023/128,,1
96792,2021-05-19 07:07:02.718145,CABN5695CICU001,TenGigE0/0/1/8.4081,,ipv4,10.223.184.77 255.255.255.252,,1
96793,2021-05-19 07:07:02.718169,CABN5695CICU001,BVI100021025,,ipv4,100.27.64.1 255.255.192.0,,1
96794,2021-05-19 07:07:02.718194,CABN5695CICU001,BVI100022024,,ipv4,101.27.64.1 255.255.192.0,,1
96795,2021-05-19 07:07:02.718218,CABN5695CICU001,BVI100031025,,ipv4,100.27.0.1 255.255.192.0,,1
96796,2021-05-19 07:07:02.718242,CABN5695CICU001,BVI100032024,,ipv4,101.27.0.1 255.255.192.0,,1
96797,2021-05-19 07:07:02.718266,CABN5695CICU001,BVI100061024,,ipv4,101.28.0.1 255.255.192.0,,1
96798,2021-05-19 07:07:02.718290,CABN5695CICU001,BVI100061025,,ipv4,100.28.0.1 255.255.192.0,,1
96799,2021-05-19 07:07:02.718314,CABN5695CICU001,BVI100081025,,ipv4,100.27.128.1 255.255.192.0,,1
96800,2021-05-19 07:07:02.718338,CABN5695CICU001,BVI100082024,,ipv4,101.27.128.1 255.255.192.0,,1
96801,2021-05-19 07:07:02.718363,CABN5695CICU001,BVI100111025,,ipv4,100.27.192.1 255.255.192.0,,1
96802,2021-05-19 07:07:02.718388,CABN5695CICU001,BVI100112024,,ipv4,101.27.192.1 255.255.192.0,,1
102140,2021-05-20 03:41:26.675631,BATS0002CICU001,Bundle-Ether251,,ipv4,10.205.232.197 255.255.255.252,,1
102141,2021-05-20 03:41:26.675688,BATS0002CICU001,Bundle-Ether251,,ipv6,2405:b800:1:2000::464/127,,1
102142,2021-05-20 03:41:26.675719,BATS0002CICU001,Bundle-Ether252,,ipv4,10.205.232.201 255.255.255.252,,1
102143,2021-05-20 03:41:26.675747,BATS0002CICU001,Bundle-Ether252,,ipv6,2405:b800:1:2000::466/127,,1
102144,2021-05-20 03:41:26.675774,BATS0002CICU001,Bundle-Ether1001.101,,ipv4,192.168.63.154 255.255.255.252,,1
102145,2021-05-20 03:41:26.675800,BATS0002CICU001,Bundle-Ether1001.102,,ipv4,172.20.143.130 255.255.255.248,,1
102146,2021-05-20 03:41:26.675827,BATS0002CICU001,Bundle-Ether1001.104,,ipv4,10.229.135.29 255.255.255.252,,1
102147,2021-05-20 03:41:26.675853,BATS0002CICU001,Bundle-Ether1001.3200,,ipv4,14.78.35.161 255.255.255.252,,1
102148,2021-05-20 03:41:26.675879,BATS0002CICU001,Bundle-Ether1001.3220,,ipv4,14.62.35.161 255.255.255.252,,1
102149,2021-05-20 03:41:26.675906,BATS0002CICU001,Bundle-Ether1001.3280,,ipv4,14.110.35.161 255.255.255.252,,1
102150,2021-05-20 03:41:26.675932,BATS0002CICU001,Bundle-Ether1001.3400,,ipv4,14.86.35.161 255.255.255.252,,1
102151,2021-05-20 03:41:26.675958,BATS0002CICU001,Bundle-Ether1001.3420,,ipv4,14.22.35.161 255.255.255.252,,1
102152,2021-05-20 03:41:26.675984,BATS0002CICU001,Bundle-Ether1001.3480,,ipv4,14.118.35.161 255.255.255.252,,1
102153,2021-05-20 03:41:26.676010,BATS0002CICU001,Bundle-Ether1001.4081,,ipv4,10.223.172.37 255.255.255.252,,1
102154,2021-05-20 03:41:26.676036,BATS0002CICU001,Bundle-Ether1002.3000,,ipv4,14.70.34.61 255.255.255.252,,1
102155,2021-05-20 03:41:26.676063,BATS0002CICU001,Bundle-Ether1002.3020,,ipv4,14.54.34.61 255.255.255.252,,1
102156,2021-05-20 03:41:26.676088,BATS0002CICU001,Bundle-Ether1002.3080,,ipv4,14.102.34.61 255.255.255.252,,1
102157,2021-05-20 03:41:26.676114,BATS0002CICU001,Bundle-Ether1002.3200,,ipv4,14.78.34.61 255.255.255.252,,1
102158,2021-05-20 03:41:26.676141,BATS0002CICU001,Bundle-Ether1002.3220,,ipv4,14.62.34.61 255.255.255.252,,1
102159,2021-05-20 03:41:26.676166,BATS0002CICU001,Bundle-Ether1002.3400,,ipv4,14.86.34.61 255.255.255.252,,1
102160,2021-05-20 03:41:26.676195,BATS0002CICU001,Bundle-Ether1002.3420,,ipv4,14.22.34.61 255.255.255.252,,1
102161,2021-05-20 03:41:26.676236,BATS0002CICU001,Bundle-Ether1002.3480,,ipv4,14.118.34.61 255.255.255.252,,1
